"","name","window_size","extrap_step","response","target","train_policy","cluster_type","granularity","train_size","update_freq","react_speed","schedule_setting","state_num","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1.34","Markov",30,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",16,0.995,0.936344371289451,61817,0.944573040616297,55298,0.298111467351838,95091,0.269703445554967,95091
"1.44","Markov",30,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",16,0.99,0.934416669293572,63446,0.94289506282074,56510,0.311449143532891,95091,0.28098625749521,95091
"1.54","Markov",30,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",16,0.95,0.916594353266679,79515,0.925880816470278,68147,0.457973939287521,95091,0.400249498168926,95091
"15","Markov",30,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",16,0.9999,0.939405000912575,60269,0.947074335663046,54227,0.280405855040976,95785,0.254868607324853,95785
"1.15","Markov",30,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",16,0.9995,0.939405000912575,60269,0.947074335663046,54227,0.280405855040976,95785,0.254868607324853,95785
"1.25","Markov",30,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",16,0.999,0.939443670844109,60324,0.94710759027266,54280,0.280665163159761,95785,0.255116126943382,95785
"1.35","Markov",30,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",16,0.995,0.938382645550577,61817,0.946086204411129,55496,0.291449077034673,95785,0.264491156526884,95785
"1.45","Markov",30,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",16,0.99,0.936465655833307,63446,0.944405261487463,56714,0.304488576829227,95785,0.275539732445683,95785
"1.55","Markov",30,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",16,0.95,0.918983839527133,79515,0.927917135385469,68449,0.448048910354678,95785,0.393104022712843,95785
"16","Markov",30,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",20,0.9999,0.938490991338716,64771,0.94532770648523,58055,0.304068813529161,95091,0.275441118577214,95091
"1.16","Markov",30,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",20,0.9995,0.938490991338716,64771,0.94532770648523,58055,0.304068813529161,95091,0.275441118577214,95091
"1.26","Markov",30,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",20,0.999,0.938523957915522,64822,0.945355661497685,58103,0.304346162000338,95091,0.275712401659365,95091
"1.36","Markov",30,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",20,0.995,0.937735992114641,65945,0.944549923715884,58990,0.313477921014931,95091,0.283666712615955,95091
"1.46","Markov",30,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",20,0.99,0.935988872776775,67582,0.942940648975389,60218,0.327479806496948,95091,0.295568491220943,95091
"1.56","Markov",30,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",20,0.95,0.917826833516572,80951,0.925935000360308,69385,0.457187423179154,95091,0.399602380207815,95091
"17","Markov",30,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",20,0.9999,0.935989872010622,64771,0.943159206132231,57793,0.302417177773385,95785,0.272516869608669,95785
"1.17","Markov",30,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",20,0.9995,0.935989872010622,64771,0.943159206132231,57793,0.302417177773385,95785,0.272516869608669,95785
"1.27","Markov",30,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",20,0.999,0.936009379531641,64822,0.943169833503345,57839,0.302690093610719,95785,0.272778519827359,95785
"1.37","Markov",30,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",20,0.995,0.935279399499583,65945,0.942413458427693,58729,0.311777646022743,95785,0.280708974095619,95785
"1.47","Markov",30,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",20,0.99,0.933680565831138,67582,0.940860573715811,59960,0.325734442625361,95785,0.292596746734696,95785
"1.57","Markov",30,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",20,0.95,0.915170905856629,80951,0.923658593116236,69032,0.45354086701214,95785,0.394456728875021,95785
