"","name","window_size","extrap_step","response","target","train_policy","res_dist","granularity","train_size","update_freq","react_speed","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","LM(Avg.Max12)",1,1,"max",0.99,"fixed","normal",0,2000,3,"1,2",0.9999,0.989297505840653,2902501,0.990511820553887,2842168,0.652936584695347,2997000,0.641065888344019,2997000
"1.1","LM(Avg.Max12)",1,1,"max",0.99,"fixed","normal",0,2000,3,"1,2",0.9997,0.987690557272522,2921497,0.989134116706467,2851770,0.675447755579295,2997000,0.661336094754877,2997000
"1.2","LM(Avg.Max12)",1,1,"max",0.99,"fixed","normal",0,2000,3,"1,2",0.9995,0.986635505846411,2927608,0.988188062456518,2851776,0.686401743729773,2997000,0.670857427107532,2997000
"1.3","LM(Avg.Max12)",1,1,"max",0.99,"fixed","normal",0,2000,3,"1,2",0.999,0.984765325036861,2932652,0.98650927250349,2846103,0.701612519510688,2997000,0.683551738701743,2997000
"1.4","LM(Avg.Max12)",1,1,"max",0.99,"fixed","normal",0,2000,3,"1,2",0.997,0.978543724909192,2940818,0.980634201344415,2818474,0.724652111776345,2997000,0.697962076506223,2997000
"1.5","LM(Avg.Max12)",1,1,"max",0.99,"fixed","normal",0,2000,3,"1,2",0.995,0.974276616834359,2945880,0.976518067326116,2799003,0.735087433260516,2997000,0.702318747054769,2997000
"1.6","LM(Avg.Max12)",1,1,"max",0.99,"fixed","normal",0,2000,3,"1,2",0.99,0.969051097458897,2955646,0.971598875456684,2778728,0.751276458885533,2997000,0.710798249329475,2997000
"1.7","LM(Avg.Max12)",1,1,"max",0.99,"fixed","normal",0,2000,3,"1,2",0.97,0.958273984644842,2969035,0.961457385735234,2730588,0.77902970413064,2997000,0.722175425258112,2997000
"1.8","LM(Avg.Max12)",1,1,"max",0.99,"fixed","normal",0,2000,3,"1,2",0.95,0.950830390563415,2974805,0.954329059121605,2694142,0.79200196055114,2997000,0.723601805815398,2997000
