"","name","window_size","extrap_step","response","target","train_policy","res_dist","granularity","train_size","update_freq","react_speed","schedule_setting","p","P","state_num","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","NN(2)",30,1,"max",0.99,"fixed","empirical",3.125,2000,3,"1,2","max_size",2,0,NA,0.999,0.92068063987238,90268,0.92753361609963,77567,0.499590313250196,95091,0.439662445625729,95091
"1.1","NN(2)",30,1,"max",0.99,"fixed","empirical",3.125,2000,3,"1,2","max_size",2,0,NA,0.997,0.940851113172542,86240,0.945838084378563,77176,0.413604570815391,95091,0.377587661539312,95091
"1.2","NN(2)",30,1,"max",0.99,"fixed","empirical",3.125,2000,3,"1,2","max_size",2,0,NA,0.99,0.9637423420743,73943,0.966331230238367,69263,0.270065870700177,95091,0.25629082344684,95091
"1.3","NN(2)",30,1,"max",0.99,"fixed","empirical",3.125,2000,3,"1,2","max_size",2,0,NA,0.97,0.96526508226691,72751,0.967730610573125,68362,0.258767311552966,95091,0.246289422361794,95091
"1.4","NN(2)",30,1,"max",0.99,"fixed","empirical",3.125,2000,3,"1,2","max_size",2,0,NA,0.95,0.965277395942156,72748,0.967744766752973,68361,0.258730288714681,95091,0.246264583079206,95091
