"","name","window_size","extrap_step","response","target","train_policy","cluster_type","granularity","train_size","update_freq","react_speed","schedule_setting","state_num","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","Markov",50,1,"max",0.99,"fixed","fixed",6.25,2000,3,"1,2","max_size",8,0.9999,0.932656967840735,26120,0.940243592996701,23646,0.21602249405674,55714,0.197126500714468,55714
"1.1","Markov",50,1,"max",0.99,"fixed","fixed",6.25,2000,3,"1,2","max_size",8,0.9995,0.932656967840735,26120,0.940243592996701,23646,0.21602249405674,55714,0.197126500714468,55714
"1.2","Markov",50,1,"max",0.99,"fixed","fixed",6.25,2000,3,"1,2","max_size",8,0.999,0.932700769024754,26137,0.940283999661905,23662,0.216818925033198,55714,0.197884469955224,55714
"1.3","Markov",50,1,"max",0.99,"fixed","fixed",6.25,2000,3,"1,2","max_size",8,0.995,0.932173783773739,26907,0.939721856484529,24304,0.224736288867387,55714,0.204700455539562,55714
"1.4","Markov",50,1,"max",0.99,"fixed","fixed",6.25,2000,3,"1,2","max_size",8,0.99,0.930547652916074,28120,0.938476755687438,25275,0.238217372385625,55714,0.216323624941746,55714
"1.5","Markov",50,1,"max",0.99,"fixed","fixed",6.25,2000,3,"1,2","max_size",8,0.95,0.916391221891086,36910,0.927035952395788,32098,0.34374725012536,55714,0.3039648899361,55714
"11","Markov",50,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",8,0.9999,0.932656967840735,26120,0.940243592996701,23646,0.206507548076112,56762,0.188466606310979,56762
"1.11","Markov",50,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",8,0.9995,0.932656967840735,26120,0.940243592996701,23646,0.206507548076112,56762,0.188466606310979,56762
"1.21","Markov",50,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",8,0.999,0.932700769024754,26137,0.940283999661905,23662,0.207270983806991,56762,0.189193102159381,56762
"1.31","Markov",50,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",8,0.995,0.932173783773739,26907,0.939721856484529,24304,0.214871030348669,56762,0.195738977011308,56762
"1.41","Markov",50,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",8,0.99,0.930547652916074,28120,0.938476755687438,25275,0.227794416955011,56762,0.206892156637202,56762
"1.51","Markov",50,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",8,0.95,0.916391221891086,36910,0.927035952395788,32098,0.328663711365045,56762,0.29068812245317,56762
"12","Markov",50,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",8,0.9999,0.933422664624809,26120,0.940952863659402,23676,0.202181110379317,57356,0.184818692016826,57356
"1.12","Markov",50,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",8,0.9995,0.933422664624809,26120,0.940952863659402,23676,0.202181110379317,57356,0.184818692016826,57356
"1.22","Markov",50,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",8,0.999,0.933465967785132,26137,0.940992740165457,23692,0.202915325752393,57356,0.185517397894546,57356
"1.32","Markov",50,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",8,0.995,0.932954249823466,26907,0.940453686200378,24334,0.210353155087636,57356,0.19192834119645,57356
"1.42","Markov",50,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",8,0.99,0.931294452347084,28120,0.93918197984588,25305,0.222981962285485,57356,0.202831240245669,57356
"1.52","Markov",50,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",8,0.95,0.917610403684638,36910,0.928062921627755,32167,0.321868928238995,57356,0.285252023650782,57356
"13","Markov",50,1,"max",0.99,"fixed","fixed",1.5625,2000,3,"1,2","max_size",8,0.9999,0.932656967840735,26120,0.940243592996701,23646,0.200213719256189,57816,0.182739836915641,57816
"1.13","Markov",50,1,"max",0.99,"fixed","fixed",1.5625,2000,3,"1,2","max_size",8,0.9995,0.932656967840735,26120,0.940243592996701,23646,0.200213719256189,57816,0.182739836915641,57816
"1.23","Markov",50,1,"max",0.99,"fixed","fixed",1.5625,2000,3,"1,2","max_size",8,0.999,0.932700769024754,26137,0.940283999661905,23662,0.200954957763711,57816,0.183445132447238,57816
"1.33","Markov",50,1,"max",0.99,"fixed","fixed",1.5625,2000,3,"1,2","max_size",8,0.995,0.932173783773739,26907,0.939721856484529,24304,0.208325628600424,57816,0.189796401932125,57816
"1.43","Markov",50,1,"max",0.99,"fixed","fixed",1.5625,2000,3,"1,2","max_size",8,0.99,0.930547652916074,28120,0.938476755687438,25275,0.220861365247267,57816,0.200619463544355,57816
"1.53","Markov",50,1,"max",0.99,"fixed","fixed",1.5625,2000,3,"1,2","max_size",8,0.95,0.916391221891086,36910,0.927035952395788,32098,0.318658721194191,57816,0.281864896522199,57816
