"","name","window_size","extrap_step","response","target","train_policy","p","res_dist","granularity","train_size","update_freq","react_speed","schedule_setting","state_num","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","VAR(2)",5,1,"max",0.99,"fixed",2,"normal",3.125,2000,3,"1,2","max_size",NA,0.999,0.98057738478238,561047,0.98233305813579,540218,0.533019832200997,591490,0.515756821207648,591490
"1.1","VAR(2)",5,1,"max",0.99,"fixed",2,"normal",3.125,2000,3,"1,2","max_size",NA,0.997,0.975724310039046,570612,0.978208027809063,544283,0.580785470327273,591490,0.557533873190096,591490
"1.2","VAR(2)",5,1,"max",0.99,"fixed",2,"normal",3.125,2000,3,"1,2","max_size",NA,0.99,0.96704091282469,579476,0.970789812128226,543509,0.639993099437325,591490,0.605503176110087,591490
"1.3","VAR(2)",5,1,"max",0.99,"fixed",2,"normal",3.125,2000,3,"1,2","max_size",NA,0.97,0.951533305925963,586217,0.957685949793649,533558,0.699384486000262,591490,0.64492184625758,591490
"1.4","VAR(2)",5,1,"max",0.99,"fixed",2,"normal",3.125,2000,3,"1,2","max_size",NA,0.95,0.939226341027571,588709,0.947731482100909,523183,0.728059380933079,591490,0.657840722140555,591490
