"","name","window_size","extrap_step","response","target","train_policy","res_dist","granularity","train_size","update_freq","react_speed","schedule_setting","p","P","state_num","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","NN(1)",30,1,"max",0.99,"fixed","empirical",3.125,2000,3,"1,2","max_size",1,0,NA,0.999,0.942351886749092,87028,0.945362965241464,78024,0.447175579139469,95091,0.408129914250908,95091
"1.1","NN(1)",30,1,"max",0.99,"fixed","empirical",3.125,2000,3,"1,2","max_size",1,0,NA,0.997,0.959516846789574,78650,0.961314008602975,72998,0.342095883653547,95091,0.322450848627959,95091
"1.2","NN(1)",30,1,"max",0.99,"fixed","empirical",3.125,2000,3,"1,2","max_size",1,0,NA,0.99,0.978282020988255,57556,0.979098345886338,55498,0.178796321752925,95091,0.174011031925003,95091
"1.3","NN(1)",30,1,"max",0.99,"fixed","empirical",3.125,2000,3,"1,2","max_size",1,0,NA,0.97,0.979830474779057,55331,0.980498637703878,53586,0.165532194391364,95091,0.161564709367631,95091
"1.4","NN(1)",30,1,"max",0.99,"fixed","empirical",3.125,2000,3,"1,2","max_size",1,0,NA,0.95,0.979827558158451,55323,0.980496089885963,53579,0.165491298070098,95091,0.161524564206532,95091
