"","name","window_size","extrap_step","response","target","train_policy","cluster_type","granularity","train_size","update_freq","react_speed","schedule_setting","state_num","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,1","max_size",8,0.9999,0.975328357345368,86415,0.97818362706083,84432,0.191063979345679,192754,0.186366815659071,192754
"1.1","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,1","max_size",8,0.9995,0.975328357345368,86415,0.97818362706083,84432,0.191063979345679,192754,0.186366815659071,192754
"1.2","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,1","max_size",8,0.999,0.975223175718482,86815,0.978093239323697,84814,0.192198359845747,192754,0.187463822566406,192754
"1.3","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,1","max_size",8,0.995,0.97482533942461,93467,0.977690116151655,91260,0.210999754492593,192754,0.205768565411693,192754
"1.4","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,1","max_size",8,0.99,0.974731510748812,108198,0.977508191753319,105594,0.2614769553679,192754,0.25500392509314,192754
"1.5","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,1","max_size",8,0.95,0.955824776978589,167809,0.959391210666268,160581,0.514398156005885,192754,0.493333164054059,192754
"11","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",8,0.9999,0.975328357345368,86415,0.978746501978192,82904,0.191063979345679,192754,0.183076955934807,192754
"1.11","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",8,0.9995,0.975328357345368,86415,0.978746501978192,82904,0.191063979345679,192754,0.183076955934807,192754
"1.21","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",8,0.999,0.975223175718482,86815,0.978648028725487,83271,0.192198359845747,192754,0.184142755873636,192754
"1.31","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",8,0.995,0.97482533942461,93467,0.978183646112601,89520,0.210999754492593,192754,0.202002256039039,192754
"1.41","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",8,0.99,0.974731510748812,108198,0.977862809326415,103491,0.2614769553679,192754,0.25038556567004,192754
"1.51","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",8,0.95,0.955824776978589,167809,0.960048206510471,154336,0.514398156005885,192754,0.476305767412288,192754
"12","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,3","max_size",8,0.9999,0.975328357345368,86415,0.979109966899595,81570,0.191063979345679,192754,0.180210123248245,192754
"1.12","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,3","max_size",8,0.9995,0.975328357345368,86415,0.979109966899595,81570,0.191063979345679,192754,0.180210123248245,192754
"1.22","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,3","max_size",8,0.999,0.975223175718482,86815,0.979004162546844,81921,0.192198359845747,192754,0.181242925055852,192754
"1.32","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,3","max_size",8,0.995,0.97482533942461,93467,0.978586042282337,87980,0.210999754492593,192754,0.198754087555761,192754
"1.42","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,3","max_size",8,0.99,0.974731510748812,108198,0.978225131663139,101585,0.2614769553679,192754,0.246333345507244,192754
"1.52","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,3","max_size",8,0.95,0.955824776978589,167809,0.960561389337641,148560,0.514398156005885,192754,0.460621286922676,192754
"13","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"2,1","max_size",8,0.9999,0.975328357345368,86415,0.97592571096924,86150,0.191063979345679,192754,0.190477532930891,192754
"1.13","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"2,1","max_size",8,0.9995,0.975328357345368,86415,0.97592571096924,86150,0.191063979345679,192754,0.190477532930891,192754
"1.23","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"2,1","max_size",8,0.999,0.975223175718482,86815,0.975828162732388,86547,0.192198359845747,192754,0.191605927323517,192754
"1.33","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"2,1","max_size",8,0.995,0.97482533942461,93467,0.975465521867454,93175,0.210999754492593,192754,0.210373285619122,192754
"1.43","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"2,1","max_size",8,0.99,0.974731510748812,108198,0.975375943335002,107862,0.2614769553679,192754,0.260751280717417,192754
"1.53","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"2,1","max_size",8,0.95,0.955824776978589,167809,0.956710553112983,166946,0.514398156005885,192754,0.512313927039063,192754
"14","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"2,2","max_size",8,0.9999,0.975328357345368,86415,0.976089081262217,85944,0.191063979345679,192754,0.190073733662775,192754
"1.14","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"2,2","max_size",8,0.9995,0.975328357345368,86415,0.976089081262217,85944,0.191063979345679,192754,0.190073733662775,192754
"1.24","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"2,2","max_size",8,0.999,0.975223175718482,86815,0.975989714841669,86338,0.192198359845747,192754,0.191202142587502,192754
"1.34","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"2,2","max_size",8,0.995,0.97482533942461,93467,0.975601097305148,92955,0.210999754492593,192754,0.209935667636633,192754
"1.44","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"2,2","max_size",8,0.99,0.974731510748812,108198,0.975492792817911,107601,0.2614769553679,192754,0.260226791014474,192754
"1.54","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"2,2","max_size",8,0.95,0.955824776978589,167809,0.956921503144086,166185,0.514398156005885,192754,0.510385382034324,192754
"15","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"2,3","max_size",8,0.9999,0.975328357345368,86415,0.976279606759263,85749,0.191063979345679,192754,0.189698146728654,192754
"1.15","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"2,3","max_size",8,0.9995,0.975328357345368,86415,0.976279606759263,85749,0.191063979345679,192754,0.189698146728654,192754
"1.25","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"2,3","max_size",8,0.999,0.975223175718482,86815,0.976178037822589,86139,0.192198359845747,192754,0.190820486813461,192754
"1.35","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"2,3","max_size",8,0.995,0.97482533942461,93467,0.975782016583819,92741,0.210999754492593,192754,0.209524644380727,192754
"1.45","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"2,3","max_size",8,0.99,0.974731510748812,108198,0.975629524049076,107343,0.2614769553679,192754,0.259718320013644,192754
"1.55","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"2,3","max_size",8,0.95,0.955824776978589,167809,0.95703838017528,165450,0.514398156005885,192754,0.508498246006426,192754
"16","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"2,4","max_size",8,0.9999,0.975328357345368,86415,0.976287262872629,85608,0.191063979345679,192754,0.189411456032744,192754
