"","name","window_size","extrap_step","response","target","train_policy","cluster_type","granularity","train_size","update_freq","react_speed","state_num","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","Markov",1,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",8,0.9999,0.9962219425695,1092625,0.996630144536935,1084913,0.128763147743837,2979796,0.127500809754202,2979796
"1.1","Markov",1,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",8,0.9995,0.9962219425695,1092625,0.996630144536935,1084913,0.128763147743837,2979796,0.127500809754202,2979796
"1.2","Markov",1,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",8,0.999,0.997110525932793,1690273,0.997439220904523,1681129,0.21162028049939,2979796,0.210174891707096,2979796
"1.3","Markov",1,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",8,0.995,0.9957258148446,2642375,0.996227859131694,2621058,0.479979646481616,2979796,0.476076008961694,2979796
"1.4","Markov",1,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",8,0.99,0.993367956957107,2783456,0.994148097558633,2748337,0.571571379167602,2979796,0.564605052006263,2979796
"1.5","Markov",1,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",8,0.95,0.978698533386455,2926606,0.980920311453622,2805811,0.753363106146496,2979796,0.725573156129262,2979796
"11","Markov",1,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",8,0.9999,0.996302482553484,1092625,0.996706242748251,1085083,0.127186320766741,2983935,0.125972777902004,2983935
"1.11","Markov",1,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",8,0.9995,0.996302482553484,1092625,0.996706242748251,1085083,0.127186320766741,2983935,0.125972777902004,2983935
"1.21","Markov",1,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",8,0.999,0.997167321491854,1690273,0.997491842689706,1681314,0.208948070904963,2983935,0.207554007242356,2983935
"1.31","Markov",1,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",8,0.995,0.995818534462368,2642375,0.996309787150934,2621529,0.473629881166512,2983935,0.469872338865923,2983935
"1.41","Markov",1,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",8,0.99,0.993633094972581,2783456,0.994356232673482,2749759,0.562183113477741,2983935,0.555603381627011,2983935
"1.51","Markov",1,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",8,0.95,0.979689784002356,2926606,0.981835229105747,2811431,0.741860281608417,2983935,0.715747234321558,2983935
"12","Markov",1,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",10,0.9999,0.996228454624798,1272953,0.996631979030766,1263947,0.144132414983222,2979796,0.142686508136117,2979796
"1.12","Markov",1,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",10,0.9995,0.996228454624798,1272953,0.996631979030766,1263947,0.144132414983222,2979796,0.142686508136117,2979796
"1.22","Markov",1,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",10,0.999,0.996967135359048,1839515,0.997300212735363,1829033,0.224858083877775,2979796,0.223227133721392,2979796
"1.32","Markov",1,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",10,0.995,0.995585998320468,2676936,0.99609887814494,2654621,0.484376602287285,2979796,0.480299013157106,2979796
"1.42","Markov",1,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",10,0.99,0.993239578946168,2806482,0.994004043507593,2770367,0.577368543080417,2979796,0.57017744026454,2979796
"1.52","Markov",1,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",10,0.95,0.980643942970447,2933707,0.982802604610052,2823916,0.751738649111849,2979796,0.726871763801907,2979796
"13","Markov",1,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",10,0.9999,0.996129472180041,1272953,0.996556990472573,1263720,0.14313777536823,2983935,0.14166948619493,2983935
"1.13","Markov",1,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",10,0.9995,0.996129472180041,1272953,0.996556990472573,1263720,0.14313777536823,2983935,0.14166948619493,2983935
"1.23","Markov",1,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",10,0.999,0.996892115584814,1839515,0.997241336319653,1828784,0.224152714997891,2983935,0.222499021643718,2983935
"1.33","Markov",1,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",10,0.995,0.99551053891464,2676936,0.99604905248088,2654300,0.484134463363351,2983935,0.480023654235183,2983935
"1.43","Markov",1,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",10,0.99,0.993203947148066,2806482,0.993995911603127,2770279,0.575384226955784,2983935,0.568216674618469,2983935
"1.53","Markov",1,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",10,0.95,0.978748388983631,2933707,0.981021014061036,2813164,0.750103219088123,2983935,0.722406147367627,2983935
"14","Markov",1,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",16,0.9999,0.99429164762845,1606418,0.994973381829166,1589140,0.188854914708742,2979796,0.186054860861671,2979796
"1.14","Markov",1,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",16,0.9995,0.99429164762845,1606418,0.994973381829166,1589140,0.188854914708742,2979796,0.186054860861671,2979796
"1.24","Markov",1,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",16,0.999,0.995236429866306,2118789,0.99582528886277,2099786,0.274145304578345,2979796,0.271181169703892,2979796
"1.34","Markov",1,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",16,0.995,0.993696155421343,2739598,0.994582357256361,2707266,0.52453622744925,2979796,0.518537114640042,2979796
"1.44","Markov",1,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",16,0.99,0.991044976327232,2847787,0.992356741586076,2799853,0.613752268835393,2979796,0.604023924306689,2979796
"1.54","Markov",1,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",16,0.95,0.970953205650638,2944800,0.974044567776294,2780574,0.785103715564111,2979796,0.745714014421988,2979796
"15","Markov",1,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",16,0.9999,0.994447273374676,1606418,0.995099368328079,1589591,0.185509311672671,2983935,0.182832778749084,2983935
"1.15","Markov",1,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",16,0.9995,0.994447273374676,1606418,0.995099368328079,1589591,0.185509311672671,2983935,0.182832778749084,2983935
"1.25","Markov",1,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",16,0.999,0.995366692955268,2118789,0.995929125842861,2100286,0.269268887975165,2983935,0.266436839973825,2983935
"1.35","Markov",1,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",16,0.995,0.99394181190087,2739598,0.994774219631197,2708495,0.514542184331231,2983935,0.508883484352034,2983935
