"","name","window_size","extrap_step","response","target","train_policy","p","res_dist","granularity","train_size","update_freq","react_speed","schedule_setting","state_num","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","VAR(1)",50,1,"max",0.99,"fixed",1,"normal",3.125,2000,3,"1,2","max_size",NA,0.999,0.960411937323515,36122,0.963906707262999,33829,0.227607316349538,56762,0.213695273152842,56762
"1.1","VAR(1)",50,1,"max",0.99,"fixed",1,"normal",3.125,2000,3,"1,2","max_size",NA,0.997,0.95110462103726,42458,0.95589893398934,39024,0.283836193077639,56762,0.261911235865151,56762
"1.2","VAR(1)",50,1,"max",0.99,"fixed",1,"normal",3.125,2000,3,"1,2","max_size",NA,0.99,0.93293094629156,48875,0.940707454775896,43395,0.365668430975629,56762,0.328332894594953,56762
"1.3","VAR(1)",50,1,"max",0.99,"fixed",1,"normal",3.125,2000,3,"1,2","max_size",NA,0.97,0.903269476846615,53923,0.915240730492529,45175,0.459494826060089,56762,0.394747860142876,56762
"1.4","VAR(1)",50,1,"max",0.99,"fixed",1,"normal",3.125,2000,3,"1,2","max_size",NA,0.95,0.883962721542854,55689,0.899358460304731,44892,0.510777929179327,56762,0.425161732127395,56762
