"","name","window_size","extrap_step","response","target","train_policy","granularity","train_size","update_freq","react_speed","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","Multinomial",450,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.9999,0.979637683565176,90363,0.982255425766815,87407,0.201028773853466,191323,0.194774368658721,191323
"1.1","Multinomial",450,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.9995,0.977294248215613,98213,0.980140013959096,94562,0.227218465797905,191323,0.219200666299481,191323
"1.2","Multinomial",450,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.999,0.975580282479868,103441,0.978524206877091,99228,0.244904104082563,191323,0.235458011940068,191323
"1.3","Multinomial",450,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.995,0.970148644900224,122574,0.973528171498894,116199,0.315489268489957,191323,0.300319653713481,191323
"1.4","Multinomial",450,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.99,0.965926266188543,134972,0.969680481958113,126816,0.366219507805636,191323,0.346136822996759,191323
"1.5","Multinomial",450,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.95,0.943919016110472,166848,0.949285609466508,149918,0.537086093613168,191323,0.488635760054507,191323
"11","Multinomial",450,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.9999,0.979825813662672,90363,0.982444904447672,87439,0.197857076453454,192154,0.191795464847012,192154
"1.11","Multinomial",450,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.9995,0.977558978953906,98213,0.980382208692711,94608,0.223626599602906,192154,0.215857691464908,192154
"1.21","Multinomial",450,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.999,0.975879970224573,103441,0.978787481995548,99281,0.241011652922448,192154,0.231861475109252,192154
"1.31","Multinomial",450,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.995,0.970556561750453,122574,0.97388380572372,116288,0.31040496681868,192154,0.295760430730746,192154
"1.41","Multinomial",450,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.99,0.96645230121803,134972,0.970176060498641,126945,0.36027076532618,192154,0.340920741867402,192154
