"","name","window_size","extrap_step","response","target","train_policy","granularity","train_size","update_freq","react_speed","p","P","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","NN(3)",10,1,"max",0.99,"fixed",3.125,2000,3,"1,2",3,0,0.999,0.946039269740358,284392,0.949433546258434,255802,0.640641249327654,290689,0.584360986430442,290689
"1.1","NN(3)",10,1,"max",0.99,"fixed",3.125,2000,3,"1,2",3,0,0.997,0.962332719898515,279845,0.964262083185868,259948,0.563029997068318,290689,0.528810664678716,290689
"1.2","NN(3)",10,1,"max",0.99,"fixed",3.125,2000,3,"1,2",3,0,0.99,0.981525549400425,257599,0.982244663944155,248545,0.367904864113306,290689,0.357729918625453,290689
"1.3","NN(3)",10,1,"max",0.99,"fixed",3.125,2000,3,"1,2",3,0,0.97,0.98851895429643,217576,0.988979344491786,212873,0.233332134531064,290689,0.229686467484071,290689
"1.4","NN(3)",10,1,"max",0.99,"fixed",3.125,2000,3,"1,2",3,0,0.95,0.989457681542418,211149,0.98985902155743,206982,0.213883844030123,290689,0.210890508821499,290689
