"","name","window_size","extrap_step","response","target","train_policy","granularity","train_size","update_freq","react_speed","p","P","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","NN(3)",20,1,"max",0.99,"fixed",3.125,2000,3,"1,2",3,0,0.95,0.927065149338931,135765,0.932612037265076,117751,0.576280877151505,139522,0.510955521252592,139522
"1.1","NN(3)",20,1,"max",0.99,"fixed",3.125,2000,3,"1,2",3,0,0.97,0.94626807051466,132398,0.950283233894215,119336,0.491160063501604,139522,0.451000154109969,139522
"1.2","NN(3)",20,1,"max",0.99,"fixed",3.125,2000,3,"1,2",3,0,0.99,0.968871990719179,118093,0.971025426849532,111339,0.322623464102724,139522,0.307904488607355,139522
"1.3","NN(3)",20,1,"max",0.99,"fixed",3.125,2000,3,"1,2",3,0,0.997,0.97446249943421,110465,0.976027039600482,105327,0.268602179294587,139522,0.258898275392299,139522
"1.4","NN(3)",20,1,"max",0.99,"fixed",3.125,2000,3,"1,2",3,0,0.999,0.97465899306657,110335,0.976246128118883,105246,0.267751419916593,139522,0.258215906303071,139522
