"","name","window_size","extrap_step","response","target","train_policy","cluster_type","granularity","train_size","update_freq","react_speed","state_num","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1.44","Markov",20,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",16,0.99,0.95512779654535,94134,0.960661214145836,86810,0.315876260647933,139522,0.293890766174628,139522
"1.54","Markov",20,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",16,0.95,0.933993559166082,123897,0.940847826484519,109362,0.515311050684018,139522,0.461996043315733,139522
"15","Markov",20,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",16,0.9999,0.958546137461924,87326,0.96386477956406,81112,0.272545178518319,140333,0.254689457404386,140333
"1.15","Markov",20,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",16,0.9995,0.958546137461924,87326,0.96386477956406,81112,0.272545178518319,140333,0.254689457404386,140333
"1.25","Markov",20,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",16,0.999,0.958527295810411,87431,0.963870109719605,81207,0.273038919393016,140333,0.255161583070414,140333
"1.35","Markov",20,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",16,0.995,0.957789579891563,90191,0.963081228473019,83616,0.287814470883185,140333,0.268882508178566,140333
"1.45","Markov",20,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",16,0.99,0.956434444515265,94134,0.961788197437223,87015,0.308750227077049,140333,0.287923230351344,140333
"1.55","Markov",20,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",16,0.95,0.935906438412552,123897,0.942587480754689,109767,0.504491198825162,140333,0.453887612452112,140333
"16","Markov",20,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",20,0.9999,0.957285098613676,94206,0.962323462937255,87163,0.295464260792112,139522,0.275341359274544,139522
"1.16","Markov",20,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",20,0.9995,0.957285098613676,94206,0.962323462937255,87163,0.295464260792112,139522,0.275341359274544,139522
"1.26","Markov",20,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",20,0.999,0.957294393167103,94367,0.962354692779019,87315,0.296127386403502,139522,0.275977373848227,139522
"1.36","Markov",20,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",20,0.995,0.956808848717473,96918,0.961818425400795,89572,0.30961376988815,139522,0.288564609987244,139522
"1.46","Markov",20,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",20,0.99,0.955798128155495,100222,0.960723833024882,92397,0.329346061995622,139522,0.306604095022586,139522
"1.56","Markov",20,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",20,0.95,0.93530990844159,125166,0.941715380236897,110681,0.511064369153322,139522,0.458952591919542,139522
"17","Markov",20,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",20,0.9999,0.955841453835212,94206,0.961169068678759,86941,0.294918622125886,140333,0.274192330997192,140333
"1.17","Markov",20,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",20,0.9995,0.955841453835212,94206,0.961169068678759,86941,0.294918622125886,140333,0.274192330997192,140333
"1.27","Markov",20,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",20,0.999,0.95584261447328,94367,0.961190465255133,87092,0.295577020088543,140333,0.274824474813586,140333
"1.37","Markov",20,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",20,0.995,0.955354010606905,96918,0.960633975442406,89341,0.308938987078944,140333,0.287241208553172,140333
"1.47","Markov",20,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",20,0.99,0.954261539382571,100222,0.959454766452509,92144,0.328524685814597,140333,0.305082565736178,140333
"1.57","Markov",20,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",20,0.95,0.93318473067766,125166,0.939993468676863,110238,0.508010037713676,140333,0.45474252670599,140333
