"","name","window_size","extrap_step","response","target","train_policy","granularity","train_size","update_freq","react_speed","schedule_setting","state_num","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","Multinomial",1200,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.9999,0.931721459729759,37596,0.94079044171743,33981,0.250724231680135,70709,0.228324133596832,70709
"1.1","Multinomial",1200,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.9995,0.926918636751493,39846,0.936944265238002,35651,0.274524380001132,70709,0.248048790209623,70709
"1.2","Multinomial",1200,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.999,0.923634418016441,41118,0.934137468887613,36561,0.287517116910969,70709,0.258509868363436,70709
"1.3","Multinomial",1200,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.995,0.912295805739514,45300,0.924032938545214,39346,0.330476028333129,70709,0.290998155382538,70709
"1.4","Multinomial",1200,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.99,0.906002383391524,47831,0.918749542783291,41009,0.357769418108244,70709,0.311778425946367,70709
"1.5","Multinomial",1200,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.95,0.875599786742492,56270,0.891632373113855,45198,0.452432529129498,70709,0.373170589749442,70709
"11","Multinomial",1200,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.9999,0.93222683264177,37596,0.941321730950141,34016,0.245724093573525,71305,0.22405692634037,71305
"1.11","Multinomial",1200,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.9995,0.92759624554535,39846,0.937622542154501,35702,0.269050649190976,71305,0.243506040491777,71305
"1.21","Multinomial",1200,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.999,0.924364025487621,41118,0.934837229626393,36616,0.281775950495156,71305,0.253781724467594,71305
"1.31","Multinomial",1200,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.995,0.913421633554084,45300,0.925136944613512,39432,0.324028101323838,71305,0.286062211636015,71305
"1.41","Multinomial",1200,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.99,0.907214986096883,47831,0.919880294883336,41101,0.350772038501552,71305,0.306431575648208,71305
"1.51","Multinomial",1200,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.95,0.877750133285943,56270,0.893449666203979,45387,0.444052057244123,71305,0.367652851999588,71305
