"","name","window_size","extrap_step","response","target","train_policy","res_dist","granularity","train_size","update_freq","react_speed","schedule_setting","s.window","state_num","freq","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","STLM(res:AR1X.period:12)",1,1,"max",0.99,"fixed","normal",3.125,2000,3,"1,2","max_size",13,NA,12,0.999,0.976344329664714,2939253,0.978016026526665,2804725,0.748769686140574,2982765,0.717380320577029,2982765
"1.1","STLM(res:AR1X.period:12)",1,1,"max",0.99,"fixed","normal",3.125,2000,3,"1,2","max_size",13,NA,12,0.997,0.972309635531466,2946729,0.974267042934632,2789147,0.76807367935583,2982765,0.73051989870177,2982765
"1.2","STLM(res:AR1X.period:12)",1,1,"max",0.99,"fixed","normal",3.125,2000,3,"1,2","max_size",13,NA,12,0.99,0.966055046181873,2956463,0.968512658914942,2763428,0.790821730962772,2982765,0.743647578451161,2982765
"1.3","STLM(res:AR1X.period:12)",1,1,"max",0.99,"fixed","normal",3.125,2000,3,"1,2","max_size",13,NA,12,0.97,0.957859936751981,2966417,0.961077093431695,2727340,0.81328525785489,2982765,0.753392216648946,2982765
"1.4","STLM(res:AR1X.period:12)",1,1,"max",0.99,"fixed","normal",3.125,2000,3,"1,2","max_size",13,NA,12,0.95,0.952648151464515,2970676,0.956438263613366,2702693,0.824495937275612,2982765,0.756542605309842,2982765
