"","name","window_size","extrap_step","response","target","train_policy","granularity","train_size","update_freq","react_speed","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","Multinomial",150,1,"max",0.99,"fixed",6.25,59700,3,"1,2",0.9999,0.992948705352172,305334,0.993622123239285,301511,0.240143219737672,578921,0.237142840400452,578921
"1.1","Multinomial",150,1,"max",0.99,"fixed",6.25,59700,3,"1,2",0.9997,0.992338624732022,322788,0.993086508168349,318363,0.261445004436276,578921,0.257912086688811,578921
"1.2","Multinomial",150,1,"max",0.99,"fixed",6.25,59700,3,"1,2",0.9995,0.99196956636257,334104,0.992747328842428,329258,0.274910148674358,578921,0.271012959244601,578921
"1.3","Multinomial",150,1,"max",0.99,"fixed",6.25,59700,3,"1,2",0.999,0.991321447817243,354437,0.992139054450379,348813,0.299378941071504,578921,0.294832307952406,578921
"1.4","Multinomial",150,1,"max",0.99,"fixed",6.25,59700,3,"1,2",0.997,0.989758593649187,402972,0.990736220064103,395303,0.361272693292088,578921,0.35491106188127,578921
"1.5","Multinomial",150,1,"max",0.99,"fixed",6.25,59700,3,"1,2",0.995,0.988488719823622,432706,0.989647817964095,423389,0.401714308296208,578921,0.393862339782595,578921
"1.6","Multinomial",150,1,"max",0.99,"fixed",6.25,59700,3,"1,2",0.99,0.985531058097626,477782,0.987056659387472,464795,0.471526117726981,578921,0.460112523016011,578921
"1.7","Multinomial",150,1,"max",0.99,"fixed",6.25,59700,3,"1,2",0.97,0.97510007961199,531327,0.977832663061612,506511,0.596314456749991,578921,0.572033183916325,578921
"1.8","Multinomial",150,1,"max",0.99,"fixed",6.25,59700,3,"1,2",0.95,0.965403497724685,546298,0.969280177230499,510973,0.656215308085339,578921,0.619390070748028,578921
"11","Multinomial",150,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.9999,0.992948705352172,305334,0.993622123239285,301511,0.234047779773194,581177,0.231125319751151,581177
"1.11","Multinomial",150,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.9997,0.992338624732022,322788,0.993086508168349,318363,0.254826477045805,581177,0.251384731672678,581177
"1.21","Multinomial",150,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.9995,0.99196956636257,334104,0.992747328842428,329258,0.267964969788147,581177,0.264168232370561,581177
"1.31","Multinomial",150,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.999,0.991321447817243,354437,0.992139054450379,348813,0.291842016195578,581177,0.287412594960588,581177
"1.41","Multinomial",150,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.997,0.989758593649187,402972,0.990736220064103,395303,0.352242202916705,581177,0.34604352749373,581177
"1.51","Multinomial",150,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.995,0.988488719823622,432706,0.989647817964095,423389,0.391716444409515,581177,0.384066124304256,581177
"1.61","Multinomial",150,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.99,0.985531058097626,477782,0.987056659387472,464795,0.459860523121973,581177,0.44873861725869,581177
"1.71","Multinomial",150,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.97,0.97510007961199,531327,0.977832663061612,506511,0.581613336472924,581177,0.557947779695078,581177
"1.81","Multinomial",150,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.95,0.965403497724685,546298,0.969280177230499,510973,0.640089048791023,581177,0.604184240389519,581177
"12","Multinomial",150,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.9999,0.993043683310735,305334,0.993702850131812,301565,0.230892055939247,582423,0.228058352200984,582423
"1.12","Multinomial",150,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.9997,0.992447055033025,322788,0.993185315453946,318430,0.251390098818284,582423,0.248062806252457,582423
"1.22","Multinomial",150,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.9995,0.99209228264253,334104,0.992855299315287,329335,0.26433484817663,582423,0.260666290820706,582423
"1.32","Multinomial",150,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.999,0.991468159362595,354437,0.992270257256844,348912,0.287853019687918,582423,0.283585875647859,582423
"1.42","Multinomial",150,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.997,0.989959600170731,402972,0.990921895427316,395457,0.347284860408121,582423,0.341329453553365,582423
"1.52","Multinomial",150,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.995,0.988752178153296,432706,0.989886804924399,423605,0.386055086223361,582423,0.378727750445799,582423
"1.62","Multinomial",150,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.99,0.985880589892461,477782,0.987379356755699,465111,0.452883068997998,582423,0.442252809699828,582423
"1.72","Multinomial",150,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.97,0.975971482721563,531327,0.978649349113592,507385,0.572177347954204,582423,0.549798444824977,582423
"1.82","Multinomial",150,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.95,0.966774544296336,546298,0.970552875232251,512376,0.62955593376739,582423,0.59574405782766,582423
"13","Multinomial",150,1,"max",0.99,"fixed",1.5625,59700,3,"1,2",0.9999,0.992948705352172,305334,0.993622123239285,301511,0.230758926399195,583411,0.227877976175873,583411
"1.13","Multinomial",150,1,"max",0.99,"fixed",1.5625,59700,3,"1,2",0.9997,0.992338624732022,322788,0.993086508168349,318363,0.25125078294963,583411,0.247857946632845,583411
"1.23","Multinomial",150,1,"max",0.99,"fixed",1.5625,59700,3,"1,2",0.9995,0.99196956636257,334104,0.992747328842428,329258,0.264207251521988,583411,0.260464438664906,583411
"1.33","Multinomial",150,1,"max",0.99,"fixed",1.5625,59700,3,"1,2",0.999,0.991321447817243,354437,0.992139054450379,348813,0.287754051773738,583411,0.283387372254574,583411
"1.43","Multinomial",150,1,"max",0.99,"fixed",1.5625,59700,3,"1,2",0.997,0.989758593649187,402972,0.990736220064103,395303,0.347312804506314,583411,0.341202844831332,583411
