"","name","window_size","extrap_step","response","target","train_policy","cluster_type","granularity","train_size","update_freq","react_speed","schedule_setting","state_num","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","Markov",30,1,"max",0.99,"fixed","fixed",0,2000,3,"1,2","max_size",8,0.9999,0.992434662998624,87240,0.994058325886899,86171,0.613903381493725,99000,0.607749670700351,99000
"1.1","Markov",30,1,"max",0.99,"fixed","fixed",0,2000,3,"1,2","max_size",8,0.9995,0.992434662998624,87240,0.994058325886899,86171,0.613903381493725,99000,0.607749670700351,99000
"1.2","Markov",30,1,"max",0.99,"fixed","fixed",0,2000,3,"1,2","max_size",8,0.999,0.992402278170588,87263,0.99405970460953,86191,0.614246199884891,99000,0.608096913069322,99000
"1.3","Markov",30,1,"max",0.99,"fixed","fixed",0,2000,3,"1,2","max_size",8,0.995,0.991989196859765,87382,0.993855214951537,86252,0.616295953235711,99000,0.6097869554912,99000
"1.4","Markov",30,1,"max",0.99,"fixed","fixed",0,2000,3,"1,2","max_size",8,0.99,0.991499897314196,87646,0.993637204997686,86440,0.618900756714818,99000,0.611984978014017,99000
"1.5","Markov",30,1,"max",0.99,"fixed","fixed",0,2000,3,"1,2","max_size",8,0.98,0.988901603101774,90013,0.991695799251038,88389,0.664336188452645,99000,0.654592210405404,99000
"1.6","Markov",30,1,"max",0.99,"fixed","fixed",0,2000,3,"1,2","max_size",8,0.97,0.98793441611389,90754,0.990995649583507,88957,0.674100494038879,99000,0.66319919874784,99000
"1.7","Markov",30,1,"max",0.99,"fixed","fixed",0,2000,3,"1,2","max_size",8,0.95,0.983761386502802,92434,0.98756589630091,89914,0.708808898851531,99000,0.69287529834155,99000
