"","name","window_size","extrap_step","response","target","train_policy","type","res_dist","granularity","train_size","update_freq","react_speed","schedule_setting","state_num","freq","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","Structual(trend)",30,1,"max",0.99,"fixed","trend","empirical",3.125,2000,3,"1,2","max_size",NA,NA,0.999,0.927740409820522,89649,0.933004195231761,78184,0.500984620438193,95026,0.448616118094735,95026
"1.1","Structual(trend)",30,1,"max",0.99,"fixed","trend","empirical",3.125,2000,3,"1,2","max_size",NA,NA,0.997,0.939019052226599,86814,0.943272210743802,77440,0.456730394167474,95026,0.416880492474087,95026
"1.2","Structual(trend)",30,1,"max",0.99,"fixed","trend","empirical",3.125,2000,3,"1,2","max_size",NA,NA,0.99,0.955717943913559,80055,0.958179231863442,73815,0.373468398321949,95026,0.350080434397891,95026
"1.3","Structual(trend)",30,1,"max",0.99,"fixed","trend","empirical",3.125,2000,3,"1,2","max_size",NA,NA,0.97,0.968001889597488,71973,0.969653710871389,67949,0.301625026162422,95026,0.287996816078396,95026
"1.4","Structual(trend)",30,1,"max",0.99,"fixed","trend","empirical",3.125,2000,3,"1,2","max_size",NA,NA,0.95,0.974443413729128,64680,0.975707192417797,61829,0.249325392912227,95026,0.240392426076729,95026
