"","name","window_size","extrap_step","response","target","train_policy","res_dist","granularity","train_size","update_freq","react_speed","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","LM(Avg)",25,1,"max",0.99,"fixed","normal",0,2000,3,"1,2",0.9999,0.982591997985331,63534,0.983320598897794,61513,0.177471411551184,117000,0.172439566886761,117000
"1.1","LM(Avg)",25,1,"max",0.99,"fixed","normal",0,2000,3,"1,2",0.9997,0.978726358763574,72014,0.979789954205972,69223,0.209675599603887,117000,0.202418797283275,117000
"1.2","LM(Avg)",25,1,"max",0.99,"fixed","normal",0,2000,3,"1,2",0.9995,0.977007432998325,76416,0.978204129600022,73179,0.227516879338009,117000,0.218857449490465,117000
"1.3","LM(Avg)",25,1,"max",0.99,"fixed","normal",0,2000,3,"1,2",0.999,0.973986823231955,82266,0.975396754465483,78323,0.255018231080373,117000,0.243989159890448,117000
"1.4","LM(Avg)",25,1,"max",0.99,"fixed","normal",0,2000,3,"1,2",0.997,0.967677010752453,91421,0.969646555134142,85954,0.307092052009889,117000,0.290200306337295,117000
"1.5","LM(Avg)",25,1,"max",0.99,"fixed","normal",0,2000,3,"1,2",0.995,0.963840060196894,95686,0.966186172059631,89283,0.335583255238206,117000,0.315125649219699,117000
"1.6","LM(Avg)",25,1,"max",0.99,"fixed","normal",0,2000,3,"1,2",0.99,0.956231981359346,101284,0.95944378825298,93130,0.378186605835749,117000,0.350797309710362,117000
"1.7","LM(Avg)",25,1,"max",0.99,"fixed","normal",0,2000,3,"1,2",0.97,0.941356633708899,108725,0.946357984023717,97144,0.459645732246466,117000,0.416077817139906,117000
"1.8","LM(Avg)",25,1,"max",0.99,"fixed","normal",0,2000,3,"1,2",0.95,0.930799053693026,111169,0.93692388321978,97311,0.502954120376968,117000,0.44725151820931,117000
