"","name","window_size","extrap_step","response","target","train_policy","granularity","train_size","update_freq","react_speed","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","Multinomial",30,1,"max",0.99,"fixed",6.25,59700,3,"1,2",0.9999,0.997956324312013,1967044,0.998376712817949,1960220,0.344222754433671,2952972,0.343055326057925,2952972
"1.1","Multinomial",30,1,"max",0.99,"fixed",6.25,59700,3,"1,2",0.9997,0.997822376030745,2144080,0.9982523653694,2136030,0.395168837610808,2952972,0.393753657534384,2952972
"1.2","Multinomial",30,1,"max",0.99,"fixed",6.25,59700,3,"1,2",0.9995,0.997767142313715,2260780,0.99819983516991,2252016,0.431116620850641,2952972,0.429558346653988,2952972
"1.3","Multinomial",30,1,"max",0.99,"fixed",6.25,59700,3,"1,2",0.999,0.997624948326136,2440789,0.998066318686315,2430597,0.488748586784345,2952972,0.486897789657806,2952972
"1.4","Multinomial",30,1,"max",0.99,"fixed",6.25,59700,3,"1,2",0.997,0.997040658151664,2683029,0.997524658797485,2668723,0.585808233013117,2952972,0.583079629211238,2952972
"1.5","Multinomial",30,1,"max",0.99,"fixed",6.25,59700,3,"1,2",0.995,0.996485738347213,2739409,0.997030020162357,2721904,0.62524130712461,2952972,0.621823205653784,2952972
"1.6","Multinomial",30,1,"max",0.99,"fixed",6.25,59700,3,"1,2",0.99,0.995143127525449,2796038,0.995827490063133,2770994,0.677355150996858,2952972,0.672218297404517,2952972
"1.7","Multinomial",30,1,"max",0.99,"fixed",6.25,59700,3,"1,2",0.97,0.990293827311969,2868896,0.991427210104715,2816586,0.759796961030955,2952972,0.748002831974827,2952972
"1.8","Multinomial",30,1,"max",0.99,"fixed",6.25,59700,3,"1,2",0.95,0.985495565027946,2894494,0.987077424976493,2815151,0.798965124342134,2952972,0.780174317853273,2952972
"11","Multinomial",30,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.9999,0.997956324312013,1967044,0.998376712817949,1960220,0.336293281091909,2959277,0.335151876464496,2959277
"1.11","Multinomial",30,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.9997,0.997822376030745,2144080,0.9982523653694,2136030,0.386158677923397,2959277,0.384775015849852,2959277
"1.21","Multinomial",30,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.9995,0.997767142313715,2260780,0.99819983516991,2252016,0.421315695306846,2959277,0.419792004002432,2959277
"1.31","Multinomial",30,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.999,0.997624948326136,2440789,0.998066318686315,2430597,0.477774405516241,2959277,0.475964831380799,2959277
"1.41","Multinomial",30,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.997,0.997040658151664,2683029,0.997524658797485,2668723,0.572847210475594,2959277,0.57017963464736,2959277
"1.51","Multinomial",30,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.995,0.996485738347213,2739409,0.997030020162357,2721904,0.611423383747992,2959277,0.608081251459491,2959277
"1.61","Multinomial",30,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.99,0.995143127525449,2796038,0.995827490063133,2770994,0.66238867766154,2959277,0.657363848876647,2959277
"1.71","Multinomial",30,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.97,0.990293827311969,2868896,0.991427210104715,2816586,0.742884249243963,2959277,0.731350757001048,2959277
"1.81","Multinomial",30,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.95,0.985495565027946,2894494,0.987077424976493,2815151,0.781255747008724,2959277,0.762871895600295,2959277
"12","Multinomial",30,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.9999,0.997990893950517,1967044,0.998407936545993,1960349,0.331622308402941,2962570,0.330520585721209,2962570
"1.12","Multinomial",30,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.9997,0.997867616879967,2144080,0.998292773239373,2136213,0.38049821435195,2962570,0.379169022852565,2962570
"1.22","Multinomial",30,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.9995,0.997809163209158,2260780,0.998237719985294,2252196,0.41492282056805,2962570,0.413456757282396,2962570
"1.32","Multinomial",30,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.999,0.997672473941828,2440789,0.998109689824578,2430818,0.470063710312918,2962570,0.468326756956571,2962570
"1.42","Multinomial",30,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.997,0.997123027742153,2683029,0.997597727207163,2669139,0.562833504181023,2962570,0.560292132977549,2962570
"1.52","Multinomial",30,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.995,0.99659452093499,2739409,0.99712613385296,2722465,0.600556011867356,2962570,0.597383254864612,2962570
"1.62","Multinomial",30,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.99,0.995333754405341,2796038,0.995998927852635,2772007,0.650790209288794,2962570,0.646058982096208,2962570
"1.72","Multinomial",30,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.97,0.990715243773215,2868896,0.991818809076574,2818905,0.731806332437611,2962570,0.720968935669723,2962570
"1.82","Multinomial",30,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.95,0.986072522520344,2894494,0.987610783376586,2818338,0.77144209209081,2962570,0.754050739563174,2962570
"13","Multinomial",30,1,"max",0.99,"fixed",1.5625,59700,3,"1,2",0.9999,0.997956324312013,1967044,0.998376712817949,1960220,0.332587000563825,2964803,0.33145780957625,2964803
"1.13","Multinomial",30,1,"max",0.99,"fixed",1.5625,59700,3,"1,2",0.9997,0.997822376030745,2144080,0.9982523653694,2136030,0.381936464708391,2964803,0.380567717070876,2964803
"1.23","Multinomial",30,1,"max",0.99,"fixed",1.5625,59700,3,"1,2",0.9995,0.997767142313715,2260780,0.99819983516991,2252016,0.416713010489378,2964803,0.41520574337943,2964803
"1.33","Multinomial",30,1,"max",0.99,"fixed",1.5625,59700,3,"1,2",0.999,0.997624948326136,2440789,0.998066318686315,2430597,0.472563599281076,2964803,0.470773617746609,2964803
"1.43","Multinomial",30,1,"max",0.99,"fixed",1.5625,59700,3,"1,2",0.997,0.997040658151664,2683029,0.997524658797485,2668723,0.566585989069365,2964803,0.563947901780691,2964803
"1.53","Multinomial",30,1,"max",0.99,"fixed",1.5625,59700,3,"1,2",0.995,0.996485738347213,2739409,0.997030020162357,2721904,0.604736173947344,2964803,0.601431268116624,2964803
"1.63","Multinomial",30,1,"max",0.99,"fixed",1.5625,59700,3,"1,2",0.99,0.995143127525449,2796038,0.995827490063133,2770994,0.655130205583778,2964803,0.65016239583522,2964803
