"","name","window_size","extrap_step","response","target","train_policy","cluster_type","granularity","train_size","update_freq","react_speed","state_num","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","Markov(Max-Max)",10,1,"max",0.99,"offline","fixed",3.125,1000,3,"1,2",8,0.9999,0.965543185788796,156834,0.974566113883679,147677,0.239985688558449,290689,0.226209492379849,290689
"1.1","Markov(Max-Max)",10,1,"max",0.99,"offline","fixed",3.125,1000,3,"1,2",8,0.9995,0.965543185788796,156834,0.974566113883679,147677,0.239985688558449,290689,0.226209492379849,290689
"1.2","Markov(Max-Max)",10,1,"max",0.99,"offline","fixed",3.125,1000,3,"1,2",8,0.999,0.965543185788796,156834,0.974566113883679,147677,0.239985688558449,290689,0.226209492379849,290689
"1.3","Markov(Max-Max)",10,1,"max",0.99,"offline","fixed",3.125,1000,3,"1,2",8,0.995,0.966675878586891,173688,0.975023810105253,163796,0.274483656831129,290689,0.259543487326521,290689
"1.4","Markov(Max-Max)",10,1,"max",0.99,"offline","fixed",3.125,1000,3,"1,2",8,0.99,0.966300493600569,184157,0.974358826547377,173471,0.297450838595478,290689,0.281173235185653,290689
"1.5","Markov(Max-Max)",10,1,"max",0.99,"offline","fixed",3.125,1000,3,"1,2",8,0.95,0.951577816468114,262483,0.960578224916162,240045,0.562020678443675,290689,0.519583215696755,290689
