"","name","window_size","extrap_step","response","target","train_policy","granularity","train_size","update_freq","react_speed","schedule_setting","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.9999,0.997954479669176,1965759,0.998369507232823,1958917,0.335778822998125,2959277,0.334630899905918,2959277
"1.1","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.9997,0.997830026351346,2143344,0.998255055118435,2135311,0.38579797688835,2959277,0.38441357507845,2959277
"1.2","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.9995,0.997766275134382,2260350,0.998197255511384,2251567,0.421020326246537,2959277,0.419490048267318,2959277
"1.3","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.999,0.997632633762543,2440687,0.99806871490957,2430506,0.477515946807786,2959277,0.475701370375429,2959277
"1.4","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.997,0.997061681576934,2682827,0.997542167067437,2668611,0.572567635815172,2959277,0.569916525608699,2959277
"1.5","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.995,0.996481936384269,2739291,0.997021392916742,2721742,0.611153679523317,2959277,0.607794788609155,2959277
"1.6","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.99,0.99516761346058,2795927,0.995846254393281,2770993,0.662167594037567,2959277,0.65716136918823,2959277
"1.7","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.97,0.990321287520436,2868770,0.991453176558136,2816602,0.742692780879154,2959277,0.731194142260816,2959277
"1.8","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.95,0.985515382887941,2894450,0.987094773544907,2815216,0.781121200136757,2959277,0.762760831773598,2959277
"11","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_jobs",0.9999,0.998601049263923,1965759,0.998813322366327,1963465,0.336344398957553,2959277,0.335982268521355,2959277
"1.11","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_jobs",0.9997,0.998531033749132,2143344,0.998740380599853,2140726,0.386461402856472,2959277,0.386036476345377,2959277
"1.21","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_jobs",0.9995,0.998498241422789,2260350,0.998704789444123,2257548,0.421750737623647,2959277,0.421293227143662,2959277
"1.31","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_jobs",0.999,0.998424828746988,2440687,0.998627517585251,2437554,0.47836509961371,2959277,0.477839752475197,2959277
"1.41","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_jobs",0.997,0.99809547913451,2682827,0.998300964622063,2678873,0.573770647275889,2959277,0.57308899291011,2959277
"1.51","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_jobs",0.995,0.99775836156144,2739291,0.997966527603629,2734731,0.612655510434999,2959277,0.61185131464206,2959277
"1.61","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_jobs",0.99,0.997012797544428,2795927,0.997242957679597,2790309,0.664352046705982,2959277,0.663328680419738,2959277
"1.71","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_jobs",0.97,0.994314636586412,2868770,0.994608111207772,2859944,0.747408917318612,2959277,0.745711694917896,2959277
"1.81","Multinomial(max.avg.min.sd.median)",1,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_jobs",0.95,0.991693931489575,2894450,0.992039446552329,2883091,0.788374519197369,2959277,0.7861016733134,2959277
