"","name","window_size","extrap_step","response","target","train_policy","cluster_type","granularity","train_size","update_freq","react_speed","state_num","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","MarkovX(quantile)",15,1,"max",0.99,"fixed","quantile",3.125,1750,3,"1,2",8,0.9999,0.988601014414813,94833,0.989329350197187,93059,0.146450258744258,192754,0.143226132681431,192754
"1.1","MarkovX(quantile)",15,1,"max",0.99,"fixed","quantile",3.125,1750,3,"1,2",8,0.9995,0.988601014414813,94833,0.989329350197187,93059,0.146450258744258,192754,0.143226132681431,192754
"1.2","MarkovX(quantile)",15,1,"max",0.99,"fixed","quantile",3.125,1750,3,"1,2",8,0.999,0.988591552265874,94842,0.989319178199948,93064,0.146468725868468,192754,0.143237077714979,192754
"1.3","MarkovX(quantile)",15,1,"max",0.99,"fixed","quantile",3.125,1750,3,"1,2",8,0.995,0.987897204557084,95763,0.988744644113321,93822,0.150815854074806,192754,0.147088898001069,192754
"1.4","MarkovX(quantile)",15,1,"max",0.99,"fixed","quantile",3.125,1750,3,"1,2",8,0.99,0.987382683821244,96534,0.988365938346883,94464,0.155036412335708,192754,0.150941062488888,192754
"1.5","MarkovX(quantile)",15,1,"max",0.99,"fixed","quantile",3.125,1750,3,"1,2",8,0.95,0.976484699712684,107547,0.979906456079871,103267,0.213147362581604,192754,0.202649893592574,192754
