"","name","window_size","extrap_step","response","target","train_policy","granularity","train_size","update_freq","react_speed","schedule_setting","state_num","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","Multinomial",150,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.9999,0.996706856630833,391723,0.997439815112024,389425,0.558423838132354,443485,0.555462077580637,443485
"1.1","Multinomial",150,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.9997,0.996437608709983,394398,0.997233889447441,391886,0.568691118292657,443485,0.56541756916234,443485
"1.2","Multinomial",150,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.9995,0.996262012704106,395935,0.997103925591992,393291,0.574597426253977,443485,0.571152811592386,443485
"1.3","Multinomial",150,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.999,0.995909517523828,398486,0.996804546442783,395562,0.584424509048185,443485,0.580590699337345,443485
"1.4","Multinomial",150,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.997,0.995016324131561,404922,0.996115019350144,401289,0.613814172034611,443485,0.608934175935555,443485
"1.5","Multinomial",150,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.995,0.994553924731315,407633,0.995723626345038,403613,0.626550636033206,443485,0.621079934234038,443485
"1.6","Multinomial",150,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.99,0.993363815636842,413792,0.99476014579613,408790,0.658610210271715,443485,0.651620499908017,443485
"1.7","Multinomial",150,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.97,0.989487264463592,422440,0.991801992909701,414369,0.707158574953906,443485,0.695329452729993,443485
"1.8","Multinomial",150,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.95,0.986485882720883,425259,0.989632897052089,414870,0.726687001334518,443485,0.711222572063984,443485
"11","Multinomial",150,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.9999,0.996826839373741,391723,0.9975225028626,389506,0.549216268612175,443683,0.546405442732381,443683
"1.11","Multinomial",150,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.9997,0.996566919710546,394398,0.997323795261408,391973,0.559315492272125,443683,0.556206011495498,443683
"1.21","Multinomial",150,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.9995,0.996395873059972,395935,0.997193560441404,393381,0.565133918703136,443683,0.561857629098952,443683
"1.31","Multinomial",150,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.999,0.996055068434023,398486,0.99689883687427,395658,0.574808015254797,443683,0.571151122051336,443683
"1.41","Multinomial",150,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.997,0.995208953823206,404922,0.996248337161391,401422,0.60376593110983,443683,0.599139490046748,443683
"1.51","Multinomial",150,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.995,0.994767352005358,407633,0.995873817065952,403763,0.616295438167721,443683,0.611115430682888,443683
"1.61","Multinomial",150,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.99,0.993598232928621,413792,0.994923696507474,408959,0.647819048472345,443683,0.641179067538317,443683
"1.71","Multinomial",150,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.97,0.989906258877,422440,0.9921047554741,414680,0.695610292805469,443683,0.684419467863278,443683
"1.81","Multinomial",150,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.95,0.987019675068605,425259,0.990011366044424,415272,0.714930694004281,443683,0.700294616637125,443683
