"","name","window_size","extrap_step","response","target","train_policy","model","res_dist","granularity","train_size","update_freq","react_speed","schedule_setting","state_num","freq","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","ETS",40,1,"max",0.99,"fixed","ZZN","normal",3.125,2000,3,"1,2","max_size",NA,NA,0.999,0.972445847974025,44966,0.974227405247813,42875,0.2172820353432,71478,0.208627346583412,71478
"1.1","ETS",40,1,"max",0.99,"fixed","ZZN","normal",3.125,2000,3,"1,2","max_size",NA,NA,0.997,0.964305008875511,51828,0.967051714215243,48652,0.268630659034688,71478,0.254864835300862,71478
"1.2","ETS",40,1,"max",0.99,"fixed","ZZN","normal",3.125,2000,3,"1,2","max_size",NA,NA,0.99,0.951021517246064,58883,0.955098326864868,53851,0.342038964489667,71478,0.317472609067839,71478
"1.3","ETS",40,1,"max",0.99,"fixed","ZZN","normal",3.125,2000,3,"1,2","max_size",NA,NA,0.97,0.930369386620545,64756,0.937100175746924,56900,0.425096069317671,71478,0.382338667331306,71478
"1.4","ETS",40,1,"max",0.99,"fixed","ZZN","normal",3.125,2000,3,"1,2","max_size",NA,NA,0.95,0.91779441191729,67465,0.925426836651732,57809,0.470896853507394,71478,0.414327400168461,71478
