"","name","window_size","extrap_step","response","target","train_policy","p","granularity","train_size","update_freq","react_speed","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","VAR1",15,1,"max",0.99,"offline",1,3.125,1000,3,"1,2",0.9999,0.911991336582115,192072,0.92368291178285,162100,0.645365684390569,192754,0.556155982477869,192754
"1.1","VAR1",15,1,"max",0.99,"offline",1,3.125,1000,3,"1,2",0.9995,0.94859360369771,184763,0.95629988614484,167757,0.535423590108539,192754,0.491085023650771,192754
"1.2","VAR1",15,1,"max",0.99,"offline",1,3.125,1000,3,"1,2",0.999,0.956093541769198,180839,0.962636518105348,166553,0.492077803144176,192754,0.456724340089214,192754
"1.3","VAR1",15,1,"max",0.99,"offline",1,3.125,1000,3,"1,2",0.995,0.965989952110938,170185,0.971415156352709,159735,0.406390113885552,192754,0.383222221771785,192754
"1.4","VAR1",15,1,"max",0.99,"offline",1,3.125,1000,3,"1,2",0.99,0.969044463188336,165980,0.974044622571669,156692,0.375108339879212,192754,0.355332569891304,192754
"1.5","VAR1",15,1,"max",0.99,"offline",1,3.125,1000,3,"1,2",0.95,0.974374750456542,152779,0.978580595570624,145709,0.312343947717045,192754,0.298168391870642,192754
