"","name","window_size","extrap_step","response","target","train_policy","cluster_type","granularity","train_size","update_freq","react_speed","schedule_setting","state_num","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","Markov",50,1,"max",0.99,"fixed","fixed",0,2000,3,"1,2","max_size",8,0.9999,0.988502735609155,64885,0.990683083679711,63755,0.622517733596048,74060,0.613866696778892,74060
"1.1","Markov",50,1,"max",0.99,"fixed","fixed",0,2000,3,"1,2","max_size",8,0.9995,0.988502735609155,64885,0.990683083679711,63755,0.622517733596048,74060,0.613866696778892,74060
"1.2","Markov",50,1,"max",0.99,"fixed","fixed",0,2000,3,"1,2","max_size",8,0.999,0.988488210818308,64890,0.990683522067819,63758,0.622703517392194,74060,0.614031055623827,74060
"1.3","Markov",50,1,"max",0.99,"fixed","fixed",0,2000,3,"1,2","max_size",8,0.995,0.988112447328761,65026,0.99052377670572,63844,0.624929546380704,74060,0.61591696774406,74060
"1.4","Markov",50,1,"max",0.99,"fixed","fixed",0,2000,3,"1,2","max_size",8,0.99,0.987536454336147,65150,0.990235964198535,63908,0.627029152891081,74060,0.617465647066773,74060
"1.5","Markov",50,1,"max",0.99,"fixed","fixed",0,2000,3,"1,2","max_size",8,0.98,0.98630535238853,65354,0.989795439983748,63991,0.630405256080108,74060,0.619993266919081,74060
"1.6","Markov",50,1,"max",0.99,"fixed","fixed",0,2000,3,"1,2","max_size",8,0.97,0.982739072057288,67030,0.986969185957382,65230,0.669530793749468,74060,0.654942577338624,74060
"1.7","Markov",50,1,"max",0.99,"fixed","fixed",0,2000,3,"1,2","max_size",8,0.95,0.980998289993514,67836,0.98565720102709,65817,0.684608664112162,74060,0.667971517882645,74060
