"","name","window_size","extrap_step","response","target","train_policy","granularity","train_size","update_freq","react_speed","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","Multinomial",300,1,"max",0.99,"fixed",6.25,59700,3,"1,2",0.9999,0.987420536983023,133710,0.988941753281962,130943,0.197881941881461,286827,0.193818504738502,286827
"1.1","Multinomial",300,1,"max",0.99,"fixed",6.25,59700,3,"1,2",0.9997,0.986231233248708,141407,0.987922163445187,138187,0.214411950707697,286827,0.209632972403737,286827
"1.2","Multinomial",300,1,"max",0.99,"fixed",6.25,59700,3,"1,2",0.9995,0.985660702796676,146102,0.987399907445063,142618,0.225148309016982,286827,0.219925717668608,286827
"1.3","Multinomial",300,1,"max",0.99,"fixed",6.25,59700,3,"1,2",0.999,0.984698399963768,154559,0.986502464363052,150546,0.244767261146995,286827,0.238634178875683,286827
"1.4","Multinomial",300,1,"max",0.99,"fixed",6.25,59700,3,"1,2",0.997,0.982385611970257,175368,0.98434667984841,169932,0.295639281265111,286827,0.287067814416181,286827
"1.5","Multinomial",300,1,"max",0.99,"fixed",6.25,59700,3,"1,2",0.995,0.980428418950194,189254,0.982428569864094,182626,0.331600225269231,286827,0.320877874470632,286827
"1.6","Multinomial",300,1,"max",0.99,"fixed",6.25,59700,3,"1,2",0.99,0.976736273550802,211617,0.978983883861162,202654,0.396738899404443,286827,0.381642678118428,286827
"1.7","Multinomial",300,1,"max",0.99,"fixed",6.25,59700,3,"1,2",0.97,0.965800727437502,247169,0.968602601979993,231516,0.525759960003598,286827,0.496317085321781,286827
"1.8","Multinomial",300,1,"max",0.99,"fixed",6.25,59700,3,"1,2",0.95,0.956004011511963,260251,0.959417465170457,239093,0.58925505231763,286827,0.546718458943772,286827
"11","Multinomial",300,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.9999,0.987420536983023,133710,0.988941753281962,130943,0.192262841716565,288609,0.188321326242773,288609
"1.11","Multinomial",300,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.9997,0.986231233248708,141407,0.987922163445187,138187,0.208345567840061,288609,0.203711801256263,288609
"1.21","Multinomial",300,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.9995,0.985660702796676,146102,0.987399907445063,142618,0.218791482995485,288609,0.213727070547335,288609
"1.31","Multinomial",300,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.999,0.984698399963768,154559,0.986502464363052,150546,0.237876349101501,288609,0.23192886745076,288609
"1.41","Multinomial",300,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.997,0.982385611970257,175368,0.98434667984841,169932,0.287365760814775,288609,0.279055870688363,288609
"1.51","Multinomial",300,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.995,0.980428418950194,189254,0.982428569864094,182626,0.322332030730002,288609,0.311928019937014,288609
"1.61","Multinomial",300,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.99,0.976736273550802,211617,0.978983883861162,202654,0.385634459968502,288609,0.370990689525643,288609
"1.71","Multinomial",300,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.97,0.965800727437502,247169,0.968602601979993,231516,0.511033586223935,288609,0.4824675126681,288609
"1.81","Multinomial",300,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.95,0.956004011511963,260251,0.959417465170457,239093,0.572763293968849,288609,0.531465955226301,288609
"12","Multinomial",300,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.9999,0.987532720065814,133710,0.989051094890511,130972,0.189359362160984,289611,0.185545812976634,289611
"1.12","Multinomial",300,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.9997,0.98635145360555,141407,0.988040804514542,138220,0.205194402499328,289611,0.200711776618983,289611
"1.22","Multinomial",300,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.9995,0.985783904395559,146102,0.987515071642879,142652,0.215475613442271,289611,0.21056801574974,289611
"1.32","Multinomial",300,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.999,0.984827800386907,154559,0.986618675414887,150583,0.23426358657945,289611,0.228493157046863,289611
"1.42","Multinomial",300,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.997,0.982602299165184,175368,0.984553122904436,170002,0.283008041957109,289611,0.274977657896497,289611
"1.52","Multinomial",300,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.995,0.980703181967092,189254,0.982684077450991,182722,0.317397024171602,289611,0.307358476704956,289611
"1.62","Multinomial",300,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.99,0.977104863975957,211617,0.979338741093222,202795,0.379608064687898,289611,0.365496164249139,289611
"1.72","Multinomial",300,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.97,0.966613936213684,247169,0.969381902548202,231889,0.502873344943826,289611,0.475583138033856,289611
"1.82","Multinomial",300,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.95,0.957360394388494,260251,0.960682077935079,239738,0.563633980479138,289611,0.524421166088933,289611
"13","Multinomial",300,1,"max",0.99,"fixed",1.5625,59700,3,"1,2",0.9999,0.987420536983023,133710,0.988941753281962,130943,0.188977884340722,290403,0.185106659691539,290403
"1.13","Multinomial",300,1,"max",0.99,"fixed",1.5625,59700,3,"1,2",0.9997,0.986231233248708,141407,0.987922163445187,138187,0.204787876742821,290403,0.200238105760836,290403
