"","name","window_size","extrap_step","response","target","train_policy","p","res_dist","granularity","train_size","update_freq","react_speed","schedule_setting","state_num","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","VAR(3)",5,1,"max",0.99,"fixed",3,"normal",3.125,2000,3,"1,2","max_size",NA,0.999,0.980356983965974,561930,0.982093101082919,540853,0.537750911837244,591490,0.520268654192038,591490
"1.1","VAR(3)",5,1,"max",0.99,"fixed",3,"normal",3.125,2000,3,"1,2","max_size",NA,0.997,0.975440323049498,571058,0.977907087805917,544428,0.584948648365404,591490,0.561418352682966,591490
"1.2","VAR(3)",5,1,"max",0.99,"fixed",3,"normal",3.125,2000,3,"1,2","max_size",NA,0.99,0.966692028066616,579621,0.970377378285702,543301,0.643367350477713,591490,0.608536973932926,591490
"1.3","VAR(3)",5,1,"max",0.99,"fixed",3,"normal",3.125,2000,3,"1,2","max_size",NA,0.97,0.951221425866733,586282,0.957249234450389,533277,0.702090175774599,591490,0.647196695238954,591490
"1.4","VAR(3)",5,1,"max",0.99,"fixed",3,"normal",3.125,2000,3,"1,2","max_size",NA,0.95,0.938754402828679,588826,0.947128415535726,522795,0.730253143012351,591490,0.659573234100391,591490
