"","name","window_size","extrap_step","response","target","train_policy","granularity","train_size","update_freq","react_speed","schedule_setting","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","Multinomial(max.avg.min.sd.median)",50,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.9999,0.905283270653888,32972,0.918012117815991,28553,0.287892075455399,56100,0.252252088086913,56100
"1.1","Multinomial(max.avg.min.sd.median)",50,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.9997,0.90047323711825,34021,0.9140625,29184,0.301091132465672,56100,0.261683068155313,56100
"1.2","Multinomial(max.avg.min.sd.median)",50,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.9995,0.897810640633123,34622,0.911339717776048,29551,0.308834299797829,56100,0.267084989741409,56100
"1.3","Multinomial(max.avg.min.sd.median)",50,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.999,0.894671693017498,35546,0.908653367411292,30127,0.320641150218968,56100,0.27551900481067,56100
"1.4","Multinomial(max.avg.min.sd.median)",50,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.997,0.886188914574485,37202,0.902533359118159,31026,0.341932987733178,56100,0.29035516092087,56100
"1.5","Multinomial(max.avg.min.sd.median)",50,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.995,0.881497208461115,38151,0.899574954006217,31526,0.354085880921377,56100,0.298777358921096,56100
"1.6","Multinomial(max.avg.min.sd.median)",50,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.99,0.873617375091335,39689,0.8927309908905,32274,0.374576004616642,56100,0.311948228092587,56100
"1.7","Multinomial(max.avg.min.sd.median)",50,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.97,0.856479645398344,42865,0.877952990181494,33610,0.417963461399067,56100,0.33813905878783,56100
"1.8","Multinomial(max.avg.min.sd.median)",50,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.95,0.844689020851007,44794,0.867270601987142,34220,0.442798377762143,56100,0.350737456110645,56100
"11","Multinomial(max.avg.min.sd.median)",50,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_jobs",0.9999,0.930956569210239,32972,0.937491961414791,31100,0.308871330613649,56100,0.293102698688772,56100
"1.11","Multinomial(max.avg.min.sd.median)",50,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_jobs",0.9997,0.927677023015197,34021,0.934655447464732,31969,0.323846186429592,56100,0.306288706527137,56100
"1.21","Multinomial(max.avg.min.sd.median)",50,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_jobs",0.9995,0.925971925365375,34622,0.933095340678279,32494,0.332764820922373,56100,0.314387794160884,56100
"1.31","Multinomial(max.avg.min.sd.median)",50,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_jobs",0.999,0.923957688628819,35546,0.931030339441274,33290,0.346143493376378,56100,0.326408498653082,56100
"1.41","Multinomial(max.avg.min.sd.median)",50,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_jobs",0.997,0.918364604053545,37202,0.926258837108642,34655,0.371154103191835,56100,0.348832709203683,56100
"1.51","Multinomial(max.avg.min.sd.median)",50,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_jobs",0.995,0.915100521611491,38151,0.923743647656691,35420,0.385274280548018,56100,0.361333104443714,56100
"1.61","Multinomial(max.avg.min.sd.median)",50,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_jobs",0.99,0.909735695028849,39689,0.919079719439972,36641,0.409422493586603,56100,0.382283989481147,56100
"1.71","Multinomial(max.avg.min.sd.median)",50,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_jobs",0.97,0.898110346436487,42865,0.908503505808895,39078,0.46103706557804,56100,0.426621779633858,56100
"1.81","Multinomial(max.avg.min.sd.median)",50,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_jobs",0.95,0.890197347859088,44794,0.901195681711505,40479,0.491778328536277,56100,0.45204514479541,56100
"12","Multinomial(max.avg.min.sd.median)",50,1,"max",0.99,"fixed",3.125,2000,3,"1,2","4_jobs",0.9999,0.942822698046828,32972,0.946803667305096,31849,0.321910810989981,56100,0.311523859345833,56100
"1.12","Multinomial(max.avg.min.sd.median)",50,1,"max",0.99,"fixed",3.125,2000,3,"1,2","4_jobs",0.9997,0.940338320449134,34021,0.944648462499619,32813,0.3380599219138,56100,0.326684490460992,56100
"1.22","Multinomial(max.avg.min.sd.median)",50,1,"max",0.99,"fixed",3.125,2000,3,"1,2","4_jobs",0.9995,0.93907775402923,34622,0.943545487234808,33372,0.347647057264657,56100,0.335812800618703,56100
"1.32","Multinomial(max.avg.min.sd.median)",50,1,"max",0.99,"fixed",3.125,2000,3,"1,2","4_jobs",0.999,0.937517582850391,35546,0.941929450273256,34217,0.361829689950218,56100,0.349061700306925,56100
"1.42","Multinomial(max.avg.min.sd.median)",50,1,"max",0.99,"fixed",3.125,2000,3,"1,2","4_jobs",0.997,0.933189075856137,37202,0.93820917266691,35693,0.388857797163176,56100,0.374267494316048,56100
"1.52","Multinomial(max.avg.min.sd.median)",50,1,"max",0.99,"fixed",3.125,2000,3,"1,2","4_jobs",0.995,0.930748866346885,38151,0.936113314912593,36553,0.404420966533772,56100,0.389010609408694,56100
"1.62","Multinomial(max.avg.min.sd.median)",50,1,"max",0.99,"fixed",3.125,2000,3,"1,2","4_jobs",0.99,0.926541359066744,39689,0.932245334318824,37883,0.430732065839792,56100,0.412895473289183,56100
"1.72","Multinomial(max.avg.min.sd.median)",50,1,"max",0.99,"fixed",3.125,2000,3,"1,2","4_jobs",0.97,0.917380146973055,42865,0.92425791353615,40595,0.48681924091324,56100,0.4640698733777,56100
"1.82","Multinomial(max.avg.min.sd.median)",50,1,"max",0.99,"fixed",3.125,2000,3,"1,2","4_jobs",0.95,0.911266017770237,44794,0.918684834123223,42200,0.520859772820522,56100,0.494565211306972,56100
"13","Multinomial(max.avg.min.sd.median)",50,1,"max",0.99,"fixed",3.125,2000,3,"1,2","1_cores",0.9999,0.950221381922901,32972,0.953199363238816,32254,0.332990114671086,56100,0.326041884444724,56100
"1.13","Multinomial(max.avg.min.sd.median)",50,1,"max",0.99,"fixed",3.125,2000,3,"1,2","1_cores",0.9997,0.948341360588208,34021,0.95162077914266,33249,0.350182041556581,56100,0.34253229706212,56100
"1.23","Multinomial(max.avg.min.sd.median)",50,1,"max",0.99,"fixed",3.125,2000,3,"1,2","1_cores",0.9995,0.947332724031788,34622,0.950723107185451,33819,0.360242499441323,56100,0.352260185577131,56100
"1.33","Multinomial(max.avg.min.sd.median)",50,1,"max",0.99,"fixed",3.125,2000,3,"1,2","1_cores",0.999,0.946176734774256,35546,0.949497134127762,34694,0.375240080700252,56100,0.366727920253039,56100
"1.43","Multinomial(max.avg.min.sd.median)",50,1,"max",0.99,"fixed",3.125,2000,3,"1,2","1_cores",0.997,0.942654532782416,37202,0.946486314976272,36244,0.404107675790219,56100,0.394469788617589,56100
"1.53","Multinomial(max.avg.min.sd.median)",50,1,"max",0.99,"fixed",3.125,2000,3,"1,2","1_cores",0.995,0.94071527801181,38151,0.944792167412096,37147,0.420770372899987,56100,0.410654560582125,56100
"1.63","Multinomial(max.avg.min.sd.median)",50,1,"max",0.99,"fixed",3.125,2000,3,"1,2","1_cores",0.99,0.937280690703553,39689,0.941571708785132,38576,0.449014507290439,56100,0.437436904253561,56100
"1.73","Multinomial(max.avg.min.sd.median)",50,1,"max",0.99,"fixed",3.125,2000,3,"1,2","1_cores",0.97,0.930031674748518,42865,0.934981264740431,41512,0.510102498832222,56100,0.495782851275223,56100
"1.83","Multinomial(max.avg.min.sd.median)",50,1,"max",0.99,"fixed",3.125,2000,3,"1,2","1_cores",0.95,0.925188840661058,44794,0.930307600463717,43253,0.547379482931483,56100,0.530813144259886,56100
"14","Multinomial(max.avg.min.sd.median)",50,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_cores",0.9999,0.946166335938718,32972,0.950043959253497,31956,0.325553723460049,56100,0.316387972691655,56100
"1.14","Multinomial(max.avg.min.sd.median)",50,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_cores",0.9997,0.944180555147311,34021,0.948324098501021,32924,0.342368222155384,56100,0.332290009335122,56100
"1.24","Multinomial(max.avg.min.sd.median)",50,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_cores",0.9995,0.943068644764821,34622,0.94734331872923,33487,0.352146659828917,56100,0.341662321632472,56100
"1.34","Multinomial(max.avg.min.sd.median)",50,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_cores",0.999,0.941859307724665,35546,0.946071778640125,34347,0.366842001127802,56100,0.355640528513566,56100
"1.44","Multinomial(max.avg.min.sd.median)",50,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_cores",0.997,0.938037317502131,37202,0.94288719364796,35852,0.394740604243742,56100,0.382051461817125,56100
"1.54","Multinomial(max.avg.min.sd.median)",50,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_cores",0.995,0.935963421042449,38151,0.941192933186562,36727,0.410895982238452,56100,0.397442988895489,56100
