"","name","window_size","extrap_step","response","target","train_policy","cluster_type","granularity","train_size","update_freq","react_speed","schedule_setting","state_num","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","Markov",40,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,1","max_size",8,0.9999,0.942940984675579,33737,0.9482151208106,32075,0.212268357824935,71478,0.202016504070705,71478
"1.1","Markov",40,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,1","max_size",8,0.9995,0.942940984675579,33737,0.9482151208106,32075,0.212268357824935,71478,0.202016504070705,71478
"1.2","Markov",40,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,1","max_size",8,0.999,0.942857142857143,33775,0.948174909679831,32108,0.212688317994194,71478,0.202407189144794,71478
"1.3","Markov",40,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,1","max_size",8,0.995,0.941728621867555,34837,0.947296806966618,33072,0.221845176638445,71478,0.210988071934062,71478
"1.4","Markov",40,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,1","max_size",8,0.99,0.940068255597791,36041,0.945908744801734,34146,0.232566097902676,71478,0.220901255505325,71478
"1.5","Markov",40,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,1","max_size",8,0.95,0.924824218354238,49351,0.933112626053623,45913,0.359269143350815,71478,0.33624953885557,71478
"11","Markov",40,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",8,0.9999,0.942940984675579,33737,0.949988670572622,30893,0.212268357824935,71478,0.195186219514106,71478
"1.11","Markov",40,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",8,0.9995,0.942940984675579,33737,0.949988670572622,30893,0.212268357824935,71478,0.195186219514106,71478
"1.21","Markov",40,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",8,0.999,0.942857142857143,33775,0.949938555074057,30922,0.212688317994194,71478,0.195541747409131,71478
"1.31","Markov",40,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",8,0.995,0.941728621867555,34837,0.949041182018233,31810,0.221845176638445,71478,0.203683866767265,71478
"1.41","Markov",40,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",8,0.99,0.940068255597791,36041,0.947564286367935,32783,0.232566097902676,71478,0.212933338869804,71478
"1.51","Markov",40,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",8,0.95,0.924824218354238,49351,0.934752002215708,43327,0.359269143350815,71478,0.319735332419074,71478
"12","Markov",40,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,3","max_size",8,0.9999,0.942940984675579,33737,0.95046171283795,29997,0.212268357824935,71478,0.18999550394382,71478
"1.12","Markov",40,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,3","max_size",8,0.9995,0.942940984675579,33737,0.95046171283795,29997,0.212268357824935,71478,0.18999550394382,71478
"1.22","Markov",40,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,3","max_size",8,0.999,0.942857142857143,33775,0.9504030377723,30022,0.212688317994194,71478,0.190312781184115,71478
"1.32","Markov",40,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,3","max_size",8,0.995,0.941728621867555,34837,0.949461877593361,30848,0.221845176638445,71478,0.198065510622439,71478
"1.42","Markov",40,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,3","max_size",8,0.99,0.940068255597791,36041,0.947998739363379,31730,0.232566097902676,71478,0.206771073241169,71478
