"","name","window_size","extrap_step","response","target","train_policy","cluster_type","granularity","train_size","update_freq","react_speed","schedule_setting","state_num","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","Markov",30,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",8,0.9999,0.961535874062363,59458,0.966449090843883,55766,0.299267989232832,98221,0.281160160846338,98221
"1.1","Markov",30,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",8,0.9995,0.961535874062363,59458,0.966449090843883,55766,0.299267989232832,98221,0.281160160846338,98221
"1.2","Markov",30,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",8,0.999,0.961548110856512,59789,0.966542419432505,56071,0.301315825606509,98221,0.283144313736782,98221
"1.3","Markov",30,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",8,0.995,0.961804454032105,63044,0.966784607831519,59069,0.321169085738958,98221,0.301706718543168,98221
"1.4","Markov",30,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",8,0.99,0.961610697919014,66555,0.966637217894145,62255,0.343519025930571,98221,0.322193781552984,98221
"1.5","Markov",30,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",8,0.98,0.960834902861271,77518,0.966132425399989,72252,0.424084224773334,98221,0.396541110684488,98221
"1.6","Markov",30,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",8,0.97,0.958812507319358,85390,0.964287066365483,79243,0.485607583675684,98221,0.452295901098053,98221
"1.7","Markov",30,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",8,0.95,0.950398285640071,92396,0.957234075320152,84413,0.565500582093944,98221,0.51952354132935,98221
