"","name","window_size","extrap_step","response","target","train_policy","cluster_type","granularity","train_size","update_freq","react_speed","state_num","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","Markov",1,1,"max",0.99,"fixed","fixed",6.25,2000,3,"1,2",8,0.9999,0.9962219425695,1092625,0.996630144536935,1084913,0.132014880563616,2973544,0.130725120965201,2973544
"1.1","Markov",1,1,"max",0.99,"fixed","fixed",6.25,2000,3,"1,2",8,0.9995,0.9962219425695,1092625,0.996630144536935,1084913,0.132014880563616,2973544,0.130725120965201,2973544
"1.2","Markov",1,1,"max",0.99,"fixed","fixed",6.25,2000,3,"1,2",8,0.999,0.997110525932793,1690273,0.997439220904523,1681129,0.216907189037179,2973544,0.215430106596035,2973544
"1.3","Markov",1,1,"max",0.99,"fixed","fixed",6.25,2000,3,"1,2",8,0.995,0.9957258148446,2642375,0.996227859131694,2621058,0.491156904488471,2973544,0.487166351286253,2973544
"1.4","Markov",1,1,"max",0.99,"fixed","fixed",6.25,2000,3,"1,2",8,0.99,0.993367956957107,2783456,0.994148097558633,2748337,0.584744953359122,2973544,0.577623117004323,2973544
"1.5","Markov",1,1,"max",0.99,"fixed","fixed",6.25,2000,3,"1,2",8,0.95,0.978698533386455,2926606,0.980920311453622,2805811,0.770575101550059,2973544,0.742176961749499,2973544
"11","Markov",1,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",8,0.9999,0.9962219425695,1092625,0.996630144536935,1084913,0.128763147743837,2979796,0.127500809754202,2979796
"1.11","Markov",1,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",8,0.9995,0.9962219425695,1092625,0.996630144536935,1084913,0.128763147743837,2979796,0.127500809754202,2979796
"1.21","Markov",1,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",8,0.999,0.997110525932793,1690273,0.997439220904523,1681129,0.21162028049939,2979796,0.210174891707096,2979796
"1.31","Markov",1,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",8,0.995,0.9957258148446,2642375,0.996227859131694,2621058,0.479979646481616,2979796,0.476076008961694,2979796
"1.41","Markov",1,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",8,0.99,0.993367956957107,2783456,0.994148097558633,2748337,0.571571379167602,2979796,0.564605052006263,2979796
"1.51","Markov",1,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",8,0.95,0.978698533386455,2926606,0.980920311453622,2805811,0.753363106146496,2979796,0.725573156129262,2979796
"12","Markov",1,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",8,0.9999,0.996302482553484,1092625,0.996706242748251,1085083,0.127186320766741,2983935,0.125972777902004,2983935
"1.12","Markov",1,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",8,0.9995,0.996302482553484,1092625,0.996706242748251,1085083,0.127186320766741,2983935,0.125972777902004,2983935
"1.22","Markov",1,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",8,0.999,0.997167321491854,1690273,0.997491842689706,1681314,0.208948070904963,2983935,0.207554007242356,2983935
"1.32","Markov",1,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",8,0.995,0.995818534462368,2642375,0.996309787150934,2621529,0.473629881166512,2983935,0.469872338865923,2983935
"1.42","Markov",1,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",8,0.99,0.993633094972581,2783456,0.994356232673482,2749759,0.562183113477741,2983935,0.555603381627011,2983935
"1.52","Markov",1,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",8,0.95,0.979689784002356,2926606,0.981835229105747,2811431,0.741860281608417,2983935,0.715747234321558,2983935
"13","Markov",1,1,"max",0.99,"fixed","fixed",1.5625,2000,3,"1,2",8,0.9999,0.9962219425695,1092625,0.996630144536935,1084913,0.127148479564131,2986448,0.12590088579582,2986448
"1.13","Markov",1,1,"max",0.99,"fixed","fixed",1.5625,2000,3,"1,2",8,0.9995,0.9962219425695,1092625,0.996630144536935,1084913,0.127148479564131,2986448,0.12590088579582,2986448
"1.23","Markov",1,1,"max",0.99,"fixed","fixed",1.5625,2000,3,"1,2",8,0.999,0.997110525932793,1690273,0.997439220904523,1681129,0.209036695113272,2986448,0.207607872373835,2986448
"1.33","Markov",1,1,"max",0.99,"fixed","fixed",1.5625,2000,3,"1,2",8,0.995,0.9957258148446,2642375,0.996227859131694,2621058,0.474415228947718,2986448,0.470556117136999,2986448
"1.43","Markov",1,1,"max",0.99,"fixed","fixed",1.5625,2000,3,"1,2",8,0.99,0.993367956957107,2783456,0.994148097558633,2748337,0.564998946336743,2986448,0.558111184464473,2986448
"1.53","Markov",1,1,"max",0.99,"fixed","fixed",1.5625,2000,3,"1,2",8,0.95,0.978698533386455,2926606,0.980920311453622,2805811,0.744714816723101,2986448,0.717246721271554,2986448
