"","name","window_size","extrap_step","response","target","train_policy","granularity","train_size","update_freq","react_speed","schedule_setting","state_num","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","Multinomial",900,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.9999,0.985801708642175,49513,0.98995577233084,48386,0.542062392625182,57619,0.531484304179686,57619
"1.1","Multinomial",900,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.9997,0.985107367827889,49689,0.989463048498845,48496,0.546441953108435,57619,0.535231163035195,57619
"1.2","Multinomial",900,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.9995,0.984869187798899,49766,0.989310430054375,48552,0.548695269339713,57619,0.537313692154236,57619
"1.3","Multinomial",900,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.999,0.984311446833236,49909,0.988877009745467,48638,0.552460182720136,57619,0.54050974405777,57619
"1.4","Multinomial",900,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.997,0.983000179365048,50177,0.988011803762449,48798,0.560021461512522,57619,0.546998248610611,57619
"1.5","Multinomial",900,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.995,0.982097085063684,50327,0.987394872004747,48869,0.564125406264247,57619,0.550342902949984,57619
"1.6","Multinomial",900,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.99,0.980518581515397,50561,0.986150546420182,48955,0.570588475922506,57619,0.555086261322571,57619
"1.7","Multinomial",900,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.97,0.974755370273869,51813,0.981617573036423,49667,0.616726957882912,57619,0.595038203149731,57619
"1.8","Multinomial",900,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.95,0.96880841342069,52963,0.976970083003245,50239,0.657773850506839,57619,0.62912718886476,57619
"11","Multinomial",900,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.9999,0.986246036394482,49513,0.990148698884758,48420,0.532851837782196,57635,0.522721748616198,57635
"1.11","Multinomial",900,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.9997,0.985550121757331,49689,0.989655882958994,48530,0.537151942360155,57635,0.526402793292046,57635
"1.21","Multinomial",900,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.9995,0.985311256681268,49766,0.989503149055283,48586,0.539375574607143,57635,0.528461044274302,57635
"1.31","Multinomial",900,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.999,0.984792322026087,49909,0.989111677212589,48676,0.543124522374941,57635,0.531703251259414,57635
"1.41","Multinomial",900,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.997,0.983498415608745,50177,0.988246616295022,48837,0.550578608832564,57635,0.538098197507994,57635
"1.51","Multinomial",900,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.995,0.982633576410277,50327,0.987651039643434,48911,0.554643538842644,57635,0.541427459828548,57635
"1.61","Multinomial",900,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.99,0.981131702300192,50561,0.986491174369962,49005,0.561084684865212,57635,0.546294213492943,57635
"1.71","Multinomial",900,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.97,0.97548877694787,51813,0.982062780269058,49729,0.606664630085026,57635,0.58591942111889,57635
"1.81","Multinomial",900,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.95,0.96965806317618,52963,0.977520720290978,50313,0.647059860247024,57635,0.619627035086653,57635
