"","name","window_size","extrap_step","response","target","train_policy","cluster_type","granularity","train_size","update_freq","react_speed","schedule_setting","state_num","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","Markov",40,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",8,0.9999,0.942940984675579,33737,0.949988670572622,30893,0.212268357824935,71478,0.195186219514106,71478
"1.1","Markov",40,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",8,0.9995,0.942940984675579,33737,0.949988670572622,30893,0.212268357824935,71478,0.195186219514106,71478
"1.2","Markov",40,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",8,0.999,0.942857142857143,33775,0.949938555074057,30922,0.212688317994194,71478,0.195541747409131,71478
"1.3","Markov",40,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",8,0.995,0.941728621867555,34837,0.949041182018233,31810,0.221845176638445,71478,0.203683866767265,71478
"1.4","Markov",40,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",8,0.99,0.940068255597791,36041,0.947564286367935,32783,0.232566097902676,71478,0.212933338869804,71478
"1.5","Markov",40,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",8,0.95,0.924824218354238,49351,0.934752002215708,43327,0.359269143350815,71478,0.319735332419074,71478
"11","Markov",40,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",8,0.9999,0.943859857130154,33737,0.950775694893342,30940,0.208086004871518,72115,0.191705734641759,72115
"1.11","Markov",40,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",8,0.9995,0.943859857130154,33737,0.950775694893342,30940,0.208086004871518,72115,0.191705734641759,72115
"1.21","Markov",40,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",8,0.999,0.943774981495189,33775,0.950724918466854,30969,0.208504687593382,72115,0.192060953530137,72115
"1.31","Markov",40,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",8,0.995,0.942618480351351,34837,0.94980694980695,31857,0.217448398138632,72115,0.200023680394744,72115
"1.41","Markov",40,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",8,0.99,0.940956133292639,36041,0.948343079922027,32832,0.22791572189046,72115,0.209051509898386,72115
"1.51","Markov",40,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",8,0.95,0.925918421105955,49351,0.935733536037592,43413,0.352047796476218,72115,0.313950472495775,72115
"12","Markov",40,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",10,0.9999,0.942466974208429,38152,0.949666743277408,34808,0.235260151967396,71478,0.215954343974054,71478
"1.12","Markov",40,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",10,0.9995,0.942466974208429,38152,0.949666743277408,34808,0.235260151967396,71478,0.215954343974054,71478
"1.22","Markov",40,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",10,0.999,0.94247335759734,38191,0.949655568312285,34840,0.235650108778379,71478,0.216308424149912,71478
"1.32","Markov",40,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",10,0.995,0.941610857884953,39271,0.948885096382509,35743,0.244731305793592,71478,0.224305307539933,71478
"1.42","Markov",40,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",10,0.99,0.939544176409649,40542,0.947024554908259,36734,0.256461920804021,71478,0.234261490669077,71478
"1.52","Markov",40,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",10,0.95,0.923524474457289,52422,0.933307153609529,45837,0.376816220554925,71478,0.334914580932663,71478
"13","Markov",40,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",10,0.9999,0.941235059760956,38152,0.948859709744299,34728,0.231045737330966,72115,0.211678647847101,72115
"1.13","Markov",40,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",10,0.9995,0.941235059760956,38152,0.948859709744299,34728,0.231045737330966,72115,0.211678647847101,72115
"1.23","Markov",40,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",10,0.999,0.941242701159959,38191,0.948849252013809,34760,0.231422998319381,72115,0.212020842281736,72115
"1.33","Markov",40,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",10,0.995,0.940464974153956,39271,0.948103288754311,35667,0.240357004772577,72115,0.219913760078383,72115
"1.43","Markov",40,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",10,0.99,0.938409550589512,40542,0.946232745921763,36658,0.251924165875776,72115,0.229685411893189,72115
"1.53","Markov",40,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",10,0.95,0.922189157224066,52422,0.932033950212189,45714,0.371255475641605,72115,0.32898553405277,72115
"14","Markov",40,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",16,0.9999,0.921310973609987,45737,0.931760172163555,39962,0.293646732666846,71478,0.259964601641332,71478
"1.14","Markov",40,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",16,0.9995,0.921310973609987,45737,0.931760172163555,39962,0.293646732666846,71478,0.259964601641332,71478
"1.24","Markov",40,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",16,0.999,0.921317134991041,45766,0.931774415405777,39985,0.294003484938414,71478,0.260295598057135,71478
"1.34","Markov",40,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",16,0.995,0.920151846609188,46626,0.930614354632273,40628,0.301658595591792,71478,0.266429246617878,71478
"1.44","Markov",40,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",16,0.99,0.918073402200386,47628,0.928388127632789,41306,0.312207251089733,71478,0.274739583004096,71478
"1.54","Markov",40,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",16,0.95,0.899754558204769,57040,0.912726125368111,47540,0.421806738577682,71478,0.360390773175354,71478
"15","Markov",40,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",16,0.9999,0.923672300325776,45737,0.933609131236605,40126,0.286769153387714,72115,0.254927409182778,72115
"1.15","Markov",40,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",16,0.9995,0.923672300325776,45737,0.933609131236605,40126,0.286769153387714,72115,0.254927409182778,72115
"1.25","Markov",40,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",16,0.999,0.923676965432854,45766,0.933622257092331,40149,0.287124600645046,72115,0.255258309071287,72115
"1.35","Markov",40,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",16,0.995,0.922532492600695,46626,0.932519548005981,40797,0.294586126744416,72115,0.261307475135784,72115
"1.45","Markov",40,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",16,0.99,0.920550936423952,47628,0.930434363399701,41486,0.304935342605958,72115,0.269548651635708,72115
