"","name","window_size","extrap_step","response","target","train_policy","model","res_dist","granularity","train_size","update_freq","react_speed","schedule_setting","state_num","freq","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","ETS(12)",1,1,"max",0.99,"fixed","ZZZ","normal",3.125,2000,3,"1,2","max_size",NA,12,0.999,0.98197578830098,2928006,0.983398974811152,2826211,0.712350645889023,2982765,0.689707910672155,2982765
"1.1","ETS(12)",1,1,"max",0.99,"fixed","ZZZ","normal",3.125,2000,3,"1,2","max_size",NA,12,0.997,0.978353087556253,2935153,0.980100206449604,2812793,0.736648480300306,2982765,0.708628789945233,2982765
"1.2","ETS(12)",1,1,"max",0.99,"fixed","ZZZ","normal",3.125,2000,3,"1,2","max_size",NA,12,0.99,0.972797795520691,2945276,0.975091633614563,2791552,0.765468088961101,2982765,0.729101058287215,2982765
"1.3","ETS(12)",1,1,"max",0.99,"fixed","ZZZ","normal",3.125,2000,3,"1,2","max_size",NA,12,0.97,0.965093598932789,2958741,0.968255790082338,2761921,0.794353253473134,2982765,0.746408815842709,2982765
"1.4","ETS(12)",1,1,"max",0.99,"fixed","ZZZ","normal",3.125,2000,3,"1,2","max_size",NA,12,0.95,0.960197303403227,2964774,0.963916083201644,2740667,0.808822465826986,2982765,0.753363364781979,2982765
