"","name","window_size","extrap_step","response","target","train_policy","granularity","train_size","update_freq","react_speed","schedule_setting","state_num","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","Multinomial",1500,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.9999,0.904380374930397,32326,0.918412505799636,28019,0.277881340003678,56100,0.244067698425931,56100
"1.1","Multinomial",1500,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.9995,0.897795414462081,34020,0.912867065538821,29082,0.299730168328611,56100,0.26038288944835,56100
"1.2","Multinomial",1500,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.999,0.893517856632259,34973,0.909210481939901,29651,0.311806328816824,56100,0.269048039555085,56100
"1.3","Multinomial",1500,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.995,0.881857657276001,37768,0.899935979513444,31240,0.348839470728382,56100,0.294914778158184,56100
"1.4","Multinomial",1500,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.99,0.873520597348504,39374,0.892308172956761,32008,0.369858578775468,56100,0.308127533838384,56100
"1.5","Multinomial",1500,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.95,0.843331769332171,44757,0.865741147526579,34143,0.441354533374732,56100,0.349144598673385,56100
"11","Multinomial",1500,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.9999,0.905586834127328,32326,0.919521401609572,28082,0.272214305673598,56649,0.239664160794425,56649
"1.11","Multinomial",1500,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.9995,0.899059376837155,34020,0.91397701937918,29155,0.293592561670214,56649,0.255666480684867,56649
"1.21","Multinomial",1500,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.999,0.894918937466045,34973,0.910362920857018,29731,0.305476467258275,56649,0.264195516910952,56649
"1.31","Multinomial",1500,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.995,0.883684600720186,37768,0.901145537509174,31339,0.341914228017823,56649,0.289729213094031,56649
"1.41","Multinomial",1500,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.99,0.875603189922284,39374,0.893762061881342,32126,0.362631966287129,56649,0.302974308975614,56649
"1.51","Multinomial",1500,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.95,0.846236342918426,44757,0.867971799801899,34326,0.433191273541335,56649,0.34425220253096,56649
"12","Multinomial",1500,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",10,0.9999,0.900883163638409,35554,0.91704646053969,30499,0.298813947957198,56253,0.260273085402541,56253
"1.12","Multinomial",1500,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",10,0.9995,0.892588412340105,37212,0.909446813928321,31418,0.320017686904652,56253,0.275080721426047,56253
"1.22","Multinomial",1500,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",10,0.999,0.889136943846194,38074,0.906856606136506,31940,0.332034612292301,56253,0.284078486882344,56253
"1.32","Multinomial",1500,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",10,0.995,0.876400353773585,40704,0.897536057692308,33280,0.368579058717584,56253,0.309725917590114,56253
"1.42","Multinomial",1500,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",10,0.99,0.86847470485041,42182,0.890649902603152,33882,0.38984812496986,56253,0.322697536099149,56253
"1.52","Multinomial",1500,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",10,0.95,0.840165861582525,46786,0.865511294563343,35371,0.456784345994039,56253,0.361037970366265,56253
"13","Multinomial",1500,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",10,0.9999,0.899083084884964,35554,0.915402586291994,30391,0.293609641352229,56808,0.254706828844706,56808
"1.13","Multinomial",1500,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",10,0.9995,0.890787917875954,37212,0.907673631077886,31302,0.314508733608332,56808,0.269131022488224,56808
"1.23","Multinomial",1500,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",10,0.999,0.887088301728214,38074,0.904652624960704,31810,0.326218474763174,56808,0.277656369120675,56808
"1.33","Multinomial",1500,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",10,0.995,0.873550511006289,40704,0.894749561960002,33102,0.36167604817112,56808,0.301919035382778,56808
