"","name","window_size","extrap_step","response","target","train_policy","granularity","train_size","update_freq","react_speed","schedule_setting","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","Multinomial(max.avg.min.sd.median)",40,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.9999,0.931808633546896,38084,0.940192290934441,34427,0.25394561718697,70709,0.230912754971352,70709
"1.1","Multinomial(max.avg.min.sd.median)",40,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.9997,0.928815879534565,39447,0.937891528867318,35438,0.267817174931963,70709,0.242336132116546,70709
"1.2","Multinomial(max.avg.min.sd.median)",40,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.9995,0.926591797604522,40159,0.936052338530067,35920,0.27527852843657,70709,0.248097289111001,70709
"1.3","Multinomial(max.avg.min.sd.median)",40,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.999,0.923450760414904,41359,0.933355103817999,36747,0.287537652648302,70709,0.257597830353852,70709
"1.4","Multinomial(max.avg.min.sd.median)",40,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.997,0.916867909053629,43894,0.927988353351011,38466,0.314069879654581,70709,0.278451380141396,70709
"1.5","Multinomial(max.avg.min.sd.median)",40,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.995,0.912909542984135,45447,0.924173015109716,39511,0.330181668489574,70709,0.290588023555262,70709
"1.6","Multinomial(max.avg.min.sd.median)",40,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.99,0.904553909172605,47849,0.916972185559955,40914,0.355649801674264,70709,0.308838891950914,70709
"1.7","Multinomial(max.avg.min.sd.median)",40,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.97,0.888624698067633,52992,0.902873339886164,43747,0.415492253856243,70709,0.35036210339077,70709
"1.8","Multinomial(max.avg.min.sd.median)",40,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.95,0.877203951481806,55979,0.893599574486946,45122,0.451684677993151,70709,0.373973365086748,70709
"11","Multinomial(max.avg.min.sd.median)",40,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_jobs",0.9999,0.949703287469804,38084,0.953585515503451,36508,0.267630455622291,70709,0.257400199654502,70709
"1.11","Multinomial(max.avg.min.sd.median)",40,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_jobs",0.9997,0.947701979871727,39447,0.951924606330523,37722,0.282710230775523,70709,0.271438369882375,70709
"1.21","Multinomial(max.avg.min.sd.median)",40,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_jobs",0.9995,0.946101745561393,40159,0.950532247964934,38328,0.29089710224695,70709,0.278791763137445,70709
"1.31","Multinomial(max.avg.min.sd.median)",40,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_jobs",0.999,0.944002514567567,41359,0.948570485476336,39384,0.30442164867662,70709,0.29109059367796,70709
"1.41","Multinomial(max.avg.min.sd.median)",40,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_jobs",0.997,0.939456417733631,43894,0.944304132390436,41574,0.333555416045431,70709,0.317691457636705,70709
"1.51","Multinomial(max.avg.min.sd.median)",40,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_jobs",0.995,0.936783506062006,45447,0.941978846333054,42924,0.3515075960829,70709,0.334174078972523,70709
"1.61","Multinomial(max.avg.min.sd.median)",40,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_jobs",0.99,0.931189784530502,47849,0.936978436477735,44937,0.380541377103617,70709,0.36038677433168,70709
"1.71","Multinomial(max.avg.min.sd.median)",40,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_jobs",0.97,0.920384208937198,52992,0.927245716146363,49138,0.447864841357137,70709,0.420132612226232,70709
