"","name","window_size","extrap_step","response","target","train_policy","cluster_type","granularity","train_size","update_freq","react_speed","state_num","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","MarkovX(Max12)",25,1,"max",0.99,"fixed","fixed",0,2000,3,"1,2",8,0.9999,0.968551773429822,44772,0.974148639463754,42667,0.149134013027451,117000,0.141612457678406,117000
"1.1","MarkovX(Max12)",25,1,"max",0.99,"fixed","fixed",0,2000,3,"1,2",8,0.9997,0.968551773429822,44772,0.974148639463754,42667,0.149134013027451,117000,0.141612457678406,117000
"1.2","MarkovX(Max12)",25,1,"max",0.99,"fixed","fixed",0,2000,3,"1,2",8,0.9995,0.968551773429822,44772,0.974148639463754,42667,0.149134013027451,117000,0.141612457678406,117000
"1.3","MarkovX(Max12)",25,1,"max",0.99,"fixed","fixed",0,2000,3,"1,2",8,0.999,0.968303541763572,45147,0.973859249267408,42998,0.152479229020825,117000,0.144787001054381,117000
"1.4","MarkovX(Max12)",25,1,"max",0.99,"fixed","fixed",0,2000,3,"1,2",8,0.997,0.967643934565541,47070,0.973046063071318,44743,0.16420693984624,117000,0.155786520141094,117000
"1.5","MarkovX(Max12)",25,1,"max",0.99,"fixed","fixed",0,2000,3,"1,2",8,0.995,0.967057131113851,48660,0.972502489932014,46186,0.171474192034863,117000,0.162400457402093,117000
"1.6","MarkovX(Max12)",25,1,"max",0.99,"fixed","fixed",0,2000,3,"1,2",8,0.99,0.965618711318677,52674,0.971033984382841,49817,0.191830037468284,117000,0.181199316352015,117000
"1.7","MarkovX(Max12)",25,1,"max",0.99,"fixed","fixed",0,2000,3,"1,2",8,0.97,0.956586048370977,75045,0.962166129403638,69488,0.311000064455383,117000,0.289244573176884,117000
"1.8","MarkovX(Max12)",25,1,"max",0.99,"fixed","fixed",0,2000,3,"1,2",8,0.95,0.945541652575809,88710,0.952420087912635,80307,0.396131152401173,117000,0.361668767899735,117000
