"","name","window_size","extrap_step","response","target","train_policy","cluster_type","granularity","train_size","update_freq","react_speed","state_num","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","MarkovX(fixed)",15,1,"max",0.99,"offline","fixed",3.125,1750,3,"1,2",8,0.9999,0.988608166027521,53196,0.991269140729938,52114,0.0953005346704954,192754,0.093263156237944,192754
"1.1","MarkovX(fixed)",15,1,"max",0.99,"offline","fixed",3.125,1750,3,"1,2",8,0.9995,0.988608166027521,53196,0.991269140729938,52114,0.0953005346704954,192754,0.093263156237944,192754
"1.2","MarkovX(fixed)",15,1,"max",0.99,"offline","fixed",3.125,1750,3,"1,2",8,0.999,0.988584732079156,53262,0.991241183685986,52176,0.0954178752967641,192754,0.0933740259705326,192754
"1.3","MarkovX(fixed)",15,1,"max",0.99,"offline","fixed",3.125,1750,3,"1,2",8,0.995,0.988236170054352,53724,0.990949537970111,52594,0.0965296666703324,192754,0.0943849586468381,192754
"1.4","MarkovX(fixed)",15,1,"max",0.99,"offline","fixed",3.125,1750,3,"1,2",8,0.99,0.983798583662714,97152,0.986605722527414,94294,0.194111775717733,192754,0.188325928118147,192754
"1.5","MarkovX(fixed)",15,1,"max",0.99,"offline","fixed",3.125,1750,3,"1,2",8,0.95,0.958862332811913,164934,0.966669499225404,152983,0.467416742910058,192754,0.436210174961081,192754
