"","name","window_size","extrap_step","response","target","train_policy","granularity","train_size","update_freq","react_speed","p","P","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","NN(2)",10,1,"max",0.99,"fixed",3.125,2000,3,"1,2",2,0,0.999,0.949609809694187,283964,0.952761690053251,257270,0.634464435659468,290689,0.582280262434714,290689
"1.1","NN(2)",10,1,"max",0.99,"fixed",3.125,2000,3,"1,2",2,0,0.997,0.965308453101769,278454,0.967249646523637,260272,0.54966520226742,290689,0.518998596067173,290689
"1.2","NN(2)",10,1,"max",0.99,"fixed",3.125,2000,3,"1,2",2,0,0.99,0.983935407364961,251298,0.984554954481649,243638,0.341731832956103,290689,0.333573542160614,290689
"1.3","NN(2)",10,1,"max",0.99,"fixed",3.125,2000,3,"1,2",2,0,0.97,0.990457593939959,203827,0.990729270729271,200200,0.201886893405445,290689,0.199241392744638,290689
"1.4","NN(2)",10,1,"max",0.99,"fixed",3.125,2000,3,"1,2",2,0,0.95,0.991272419005597,195816,0.9915190458148,192667,0.181318659396161,290689,0.179218885241946,290689
