"","name","window_size","extrap_step","response","target","train_policy","res_dist","granularity","train_size","update_freq","react_speed","schedule_setting","s.window","state_num","freq","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","STLM(res:AR1.period:12)",1,1,"max",0.99,"fixed","normal",3.125,2000,3,"1,2","max_size",13,NA,12,0.999,0.976545853100485,2938798,0.978293516671965,2806028,0.74516892143904,2982765,0.714307564361003,2982765
"1.1","STLM(res:AR1.period:12)",1,1,"max",0.99,"fixed","normal",3.125,2000,3,"1,2","max_size",13,NA,12,0.997,0.972531341964514,2946449,0.974610249776953,2790890,0.764980709314607,2982765,0.728066580098529,2982765
"1.2","STLM(res:AR1.period:12)",1,1,"max",0.99,"fixed","normal",3.125,2000,3,"1,2","max_size",13,NA,12,0.99,0.966261816127608,2956235,0.968871461655184,2765276,0.788201404025586,2982765,0.741706227754934,2982765
"1.3","STLM(res:AR1.period:12)",1,1,"max",0.99,"fixed","normal",3.125,2000,3,"1,2","max_size",13,NA,12,0.97,0.957929919835369,2966146,0.961451612785016,2728882,0.81108889225564,2982765,0.751959084891675,2982765
"1.4","STLM(res:AR1.period:12)",1,1,"max",0.99,"fixed","normal",3.125,2000,3,"1,2","max_size",13,NA,12,0.95,0.952716616478961,2970515,0.956915394705902,2704748,0.822469282734203,2982765,0.755426827158653,2982765
