"","name","window_size","extrap_step","response","target","train_policy","granularity","train_size","update_freq","react_speed","schedule_setting","state_num","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","Multinomial",750,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.9999,0.959907010014306,55920,0.964970333181196,52584,0.219842753265366,114623,0.207573957395319,114623
"1.1","Multinomial",750,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.9995,0.955917282617723,60205,0.961298932384342,56200,0.244615038643045,114623,0.22942113715481,114623
"1.2","Multinomial",750,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.999,0.953773810472623,62735,0.95923829130211,58290,0.259616836926674,114623,0.242406218478588,114623
"1.3","Multinomial",750,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.995,0.946240470028677,71485,0.952766263364792,65377,0.315052360906913,114623,0.290255812626436,114623
"1.4","Multinomial",750,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.99,0.940752715985515,77320,0.947922778596677,69877,0.353270567494949,114623,0.322387888998802,114623
"1.5","Multinomial",750,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.95,0.914693541925826,94858,0.924152704083517,81229,0.488970045460302,114623,0.426518709633603,114623
"11","Multinomial",750,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.9999,0.960282546494993,55920,0.96527474198392,52613,0.216050064423885,115291,0.204113621777547,115291
"1.11","Multinomial",750,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.9995,0.95646540984968,60205,0.961780495609201,56254,0.240443400219799,115291,0.225756353766823,115291
"1.21","Multinomial",750,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.999,0.954363592890731,62735,0.95977858513847,58352,0.255174971304731,115291,0.238547197910204,115291
"1.31","Multinomial",750,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.995,0.946925928516472,71485,0.95340594876182,65459,0.30954584754907,115291,0.285604372494736,115291
"1.41","Multinomial",750,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.99,0.941580444904294,77320,0.94868900478674,69985,0.347102214474758,115291,0.317313639580607,115291
"1.51","Multinomial",750,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.95,0.916285395011491,94858,0.925408125690438,81470,0.480672728066108,115291,0.42039649323444,115291
"12","Multinomial",750,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",10,0.9999,0.959444552592304,61644,0.964735168026552,57848,0.234770001838713,114927,0.221271349855886,114927
"1.12","Multinomial",750,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",10,0.9995,0.955870070310246,65851,0.961460710792305,61340,0.261154011968247,114927,0.244331020836907,114927
"1.22","Multinomial",750,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",10,0.999,0.953551432005394,68226,0.959434901471216,63281,0.276512580652277,114927,0.25771484709256,114927
"1.32","Multinomial",750,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",10,0.995,0.945335686735961,76485,0.952235510051909,69738,0.331718105942015,114927,0.305063063832209,114927
"1.42","Multinomial",750,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",10,0.99,0.939800313234142,81728,0.947391286639423,73657,0.369241099595496,114927,0.336397193702489,114927
"1.52","Multinomial",750,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",10,0.95,0.915494544895764,97615,0.925252863393989,83642,0.49923170865278,114927,0.436468443586978,114927
"13","Multinomial",750,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",10,0.9999,0.959006553760301,61644,0.964280151601682,57783,0.232355390152962,115612,0.218705378083799,115612
"1.13","Multinomial",750,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",10,0.9995,0.955323381573552,65851,0.960938902763495,61263,0.258510030071023,115612,0.241524768891435,115612
"1.23","Multinomial",750,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",10,0.999,0.952950488083722,68226,0.958793556350286,63194,0.273738303390933,115612,0.254705414029151,115612
"1.33","Multinomial",750,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",10,0.995,0.944328953389553,76485,0.95124579705147,69594,0.328295572346753,115612,0.301189963913005,115612
"1.43","Multinomial",750,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",10,0.99,0.938796985121378,81728,0.946381681881879,73501,0.365540330122038,115612,0.332234487057009,115612
"1.53","Multinomial",750,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",10,0.95,0.913394457818983,97615,0.923090775935553,83293,0.493657497682811,115612,0.429604777295617,115612
"14","Multinomial",750,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",16,0.9999,0.94886774606354,71892,0.956068401937046,66080,0.280136401826119,115144,0.258511036296244,115144
"1.14","Multinomial",750,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",16,0.9995,0.94411214460752,75902,0.951993172876649,69136,0.30954323088271,115144,0.283624769920281,115144
"1.24","Multinomial",750,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",16,0.999,0.940873081894621,78137,0.949347398786713,70717,0.326044719108328,115144,0.29724494250828,115144
"1.34","Multinomial",750,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",16,0.995,0.930957814054181,85455,0.94049063571617,75820,0.383609612873834,115144,0.344071855327809,115144
"1.44","Multinomial",750,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",16,0.99,0.923626410307764,89874,0.934440003055223,78554,0.419180844961458,115144,0.371793192028979,115144
"1.54","Multinomial",750,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",16,0.95,0.892007398753894,102720,0.905678102146382,84095,0.535945619057478,115144,0.44991214182689,115144
"15","Multinomial",750,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",16,0.9999,0.950091804373226,71892,0.957180818939485,66232,0.273842599967291,115852,0.253347418915317,115852
"1.15","Multinomial",750,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",16,0.9995,0.945416458064346,75902,0.953071561539461,69297,0.302613954727176,115852,0.277971358661895,115852
"1.25","Multinomial",750,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",16,0.999,0.942268067624813,78137,0.950503568708212,70894,0.318810283376381,115852,0.291408738187706,115852
"1.35","Multinomial",750,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",16,0.995,0.93265461353929,85455,0.941953720746779,76060,0.375352453253232,115852,0.337759819608562,115852
"1.45","Multinomial",750,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",16,0.99,0.925684847675635,89874,0.936115443628663,78861,0.410400152397743,115852,0.365362120106493,115852
"1.55","Multinomial",750,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",16,0.95,0.895239485981308,102720,0.908405605312286,84634,0.525629796345609,115852,0.443910769618961,115852
"16","Multinomial",750,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",20,0.9999,0.949984811865235,75717,0.957368013091034,69666,0.2851632885771,115147,0.263371181254504,115147
"1.16","Multinomial",750,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",20,0.9995,0.945246403735596,79666,0.95304517852471,72623,0.315379907524069,115147,0.289245080029871,115147
"1.26","Multinomial",750,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",20,0.999,0.942315907676159,81929,0.950389956761271,74239,0.332804993578192,115147,0.303702351383168,115147
"1.36","Multinomial",750,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",20,0.995,0.932283588464046,88974,0.941490776029071,78979,0.390238000672626,115147,0.350432558974894,115147
"1.46","Multinomial",750,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",20,0.99,0.925305942647169,93073,0.935078328340618,81452,0.425990460734797,115147,0.378255851946239,115147
"1.56","Multinomial",750,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",20,0.95,0.896368942257092,104515,0.908805031446541,86178,0.539589089440426,115147,0.4565272242861,115147
"17","Multinomial",750,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",20,0.9999,0.948862210599997,75717,0.956523615026175,69532,0.285030278573559,115881,0.262913566581996,115881
"1.17","Multinomial",750,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",20,0.9995,0.943953505887079,79666,0.951932763831578,72461,0.314787117035861,115881,0.288181745511364,115881
