"","name","window_size","extrap_step","response","target","train_policy","cluster_type","granularity","train_size","update_freq","react_speed","state_num","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","Markov",20,1,"max",0.99,"fixed","fixed",6.25,2000,3,"1,2",8,0.9999,0.969890642814703,62273,0.973990925498001,59287,0.197475580823148,138166,0.188185078282859,138166
"1.1","Markov",20,1,"max",0.99,"fixed","fixed",6.25,2000,3,"1,2",8,0.9995,0.969890642814703,62273,0.973990925498001,59287,0.197475580823148,138166,0.188185078282859,138166
"1.2","Markov",20,1,"max",0.99,"fixed","fixed",6.25,2000,3,"1,2",8,0.999,0.969824482808275,62501,0.973964198672157,59495,0.1987797565693,138166,0.189441326654534,138166
"1.3","Markov",20,1,"max",0.99,"fixed","fixed",6.25,2000,3,"1,2",8,0.995,0.969467597807314,66585,0.973525834425893,63307,0.216625086734955,138166,0.206384334318124,138166
"1.4","Markov",20,1,"max",0.99,"fixed","fixed",6.25,2000,3,"1,2",8,0.99,0.968618547510934,71794,0.972657454588173,68099,0.239720579269383,138166,0.228126798034735,138166
"1.5","Markov",20,1,"max",0.99,"fixed","fixed",6.25,2000,3,"1,2",8,0.95,0.950269248445643,115321,0.955235811350919,105084,0.480921680021314,138166,0.442134278836145,138166
"11","Markov",20,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",8,0.9999,0.969890642814703,62273,0.973990925498001,59287,0.190862687319676,139522,0.181897784390917,139522
"1.11","Markov",20,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",8,0.9995,0.969890642814703,62273,0.973990925498001,59287,0.190862687319676,139522,0.181897784390917,139522
"1.21","Markov",20,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",8,0.999,0.969824482808275,62501,0.973964198672157,59495,0.192129450670529,139522,0.183117652461458,139522
"1.31","Markov",20,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",8,0.995,0.969467597807314,66585,0.973525834425893,63307,0.209419918155219,139522,0.199538052055137,139522
"1.41","Markov",20,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",8,0.99,0.968618547510934,71794,0.972657454588173,68099,0.231766834583368,139522,0.220570641880565,139522
"1.51","Markov",20,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",8,0.95,0.950269248445643,115321,0.955235811350919,105084,0.465108575611879,139522,0.427618029769818,139522
"12","Markov",20,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",8,0.9999,0.970436625824996,62273,0.97450587224291,59347,0.187613851290855,140333,0.179033056333018,140333
"1.12","Markov",20,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",8,0.9995,0.970436625824996,62273,0.97450587224291,59347,0.187613851290855,140333,0.179033056333018,140333
"1.22","Markov",20,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",8,0.999,0.970368474104414,62501,0.974477373856099,59555,0.188859947344141,140333,0.180232821803354,140333
"1.32","Markov",20,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",8,0.995,0.970023278516182,66585,0.974042573335648,63373,0.205850954688798,140333,0.196400465497099,140333
"1.42","Markov",20,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",8,0.99,0.969189625874028,71794,0.973185078699154,68171,0.227800808224324,140333,0.217082103795918,140333
"1.52","Markov",20,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",8,0.95,0.951127721750592,115321,0.955993425615398,105257,0.456668818673603,140333,0.420579069464402,140333
"13","Markov",20,1,"max",0.99,"fixed","fixed",1.5625,2000,3,"1,2",8,0.9999,0.969890642814703,62273,0.973990925498001,59287,0.186699628168735,140974,0.177935720311006,140974
"1.13","Markov",20,1,"max",0.99,"fixed","fixed",1.5625,2000,3,"1,2",8,0.9995,0.969890642814703,62273,0.973990925498001,59287,0.186699628168735,140974,0.177935720311006,140974
"1.23","Markov",20,1,"max",0.99,"fixed","fixed",1.5625,2000,3,"1,2",8,0.999,0.969824482808275,62501,0.973964198672157,59495,0.187940278211013,140974,0.179130254406929,140974
"1.33","Markov",20,1,"max",0.99,"fixed","fixed",1.5625,2000,3,"1,2",8,0.995,0.969467597807314,66585,0.973525834425893,63307,0.204858894065096,140974,0.195199191672202,140974
"1.43","Markov",20,1,"max",0.99,"fixed","fixed",1.5625,2000,3,"1,2",8,0.99,0.968618547510934,71794,0.972657454588173,68099,0.226730091380478,140974,0.215785020809473,140974
"1.53","Markov",20,1,"max",0.99,"fixed","fixed",1.5625,2000,3,"1,2",8,0.95,0.950269248445643,115321,0.955235811350919,105084,0.45502681704382,140974,0.418366804848868,140974
