"","name","window_size","extrap_step","response","target","train_policy","granularity","train_size","update_freq","react_speed","schedule_setting","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1.72","Multinomial(max.avg.min.sd.median)",30,1,"max",0.99,"fixed",3.125,2000,3,"1,2","4_jobs",0.97,0.952890132960112,71450,0.955842529035248,69054,0.467911918584139,94339,0.454268633541693,94339
"1.82","Multinomial(max.avg.min.sd.median)",30,1,"max",0.99,"fixed",3.125,2000,3,"1,2","4_jobs",0.95,0.947190870987662,76109,0.950395389174941,73219,0.522059025178859,94339,0.505190443908838,94339
"13","Multinomial(max.avg.min.sd.median)",30,1,"max",0.99,"fixed",3.125,2000,3,"1,2","1_cores",0.9999,0.975081873174802,47940,0.976279258146209,47441,0.253542469722281,94339,0.251051602587387,94339
"1.13","Multinomial(max.avg.min.sd.median)",30,1,"max",0.99,"fixed",3.125,2000,3,"1,2","1_cores",0.9997,0.974203889905983,49940,0.975436068376563,49382,0.2703121359865,94339,0.267491982712604,94339
"1.23","Multinomial(max.avg.min.sd.median)",30,1,"max",0.99,"fixed",3.125,2000,3,"1,2","1_cores",0.9995,0.973692659309369,51041,0.974977394378893,50451,0.27958946534636,94339,0.276606491248622,94339
"1.33","Multinomial(max.avg.min.sd.median)",30,1,"max",0.99,"fixed",3.125,2000,3,"1,2","1_cores",0.999,0.972529450600721,52869,0.973870287983423,52212,0.295027678465516,94339,0.29164373926143,94339
"1.43","Multinomial(max.avg.min.sd.median)",30,1,"max",0.99,"fixed",3.125,2000,3,"1,2","1_cores",0.997,0.970312108658635,56658,0.971782920160921,55857,0.329541436807165,94339,0.325258281417953,94339
"1.53","Multinomial(max.avg.min.sd.median)",30,1,"max",0.99,"fixed",3.125,2000,3,"1,2","1_cores",0.995,0.968929996243487,59072,0.970531975699908,58193,0.352053413322777,94339,0.347275758409118,94339
"1.63","Multinomial(max.avg.min.sd.median)",30,1,"max",0.99,"fixed",3.125,2000,3,"1,2","1_cores",0.99,0.966380560718606,63101,0.968277730196335,62049,0.391120291184771,94339,0.385257009862289,94339
"1.73","Multinomial(max.avg.min.sd.median)",30,1,"max",0.99,"fixed",3.125,2000,3,"1,2","1_cores",0.97,0.960119164250725,71450,0.962299501789234,70022,0.480878960552576,94339,0.472495235787304,94339
"1.83","Multinomial(max.avg.min.sd.median)",30,1,"max",0.99,"fixed",3.125,2000,3,"1,2","1_cores",0.95,0.955722572701182,76109,0.958073581878444,74437,0.538173747890355,94339,0.528039975176571,94339
"14","Multinomial(max.avg.min.sd.median)",30,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_cores",0.9999,0.972928983650198,47940,0.974631772963692,47150,0.250193496984856,94339,0.246366448359939,94339
"1.14","Multinomial(max.avg.min.sd.median)",30,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_cores",0.9997,0.971942235444438,49940,0.973667467190646,49075,0.26672539738153,94339,0.262487286292551,94339
"1.24","Multinomial(max.avg.min.sd.median)",30,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_cores",0.9995,0.971411381699679,51041,0.973194184421819,50133,0.275877230018819,94339,0.271421514939994,94339
"1.34","Multinomial(max.avg.min.sd.median)",30,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_cores",0.999,0.970179887574769,52869,0.972055756293881,51872,0.291045988876161,94339,0.286099410099597,94339
"1.44","Multinomial(max.avg.min.sd.median)",30,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_cores",0.997,0.967779231781667,56658,0.969848259302279,55469,0.324947735079376,94339,0.318877533674475,94339
"1.54","Multinomial(max.avg.min.sd.median)",30,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_cores",0.995,0.966256070074292,59072,0.968465280593993,57772,0.347083318377953,94339,0.340351644500398,94339
"1.64","Multinomial(max.avg.min.sd.median)",30,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_cores",0.99,0.963546762899388,63101,0.966013049524923,61564,0.385482002966697,94339,0.377324101217781,94339
"1.74","Multinomial(max.avg.min.sd.median)",30,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_cores",0.97,0.956833783198374,71450,0.959730160789895,69357,0.473366949444255,94339,0.461680842060776,94339
"1.84","Multinomial(max.avg.min.sd.median)",30,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_cores",0.95,0.952108880183746,76109,0.955245845793045,73666,0.52943591575396,94339,0.515409772459405,94339
