"","name","window_size","extrap_step","response","target","train_policy","granularity","train_size","update_freq","react_speed","schedule_setting","state_num","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","Multinomial",1200,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.9999,0.979400644946069,35972,0.985321575273605,34813,0.54297423189049,41773,0.527967075622988,41773
"1.1","Multinomial",1200,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.9997,0.978514000554477,36070,0.98467718794835,34850,0.546681231324558,41773,0.530866340804347,41773
"1.2","Multinomial",1200,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.9995,0.978213929797365,36124,0.984434124527004,34884,0.549024474960547,41773,0.532862915217711,41773
"1.3","Multinomial",1200,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.999,0.977634194831014,36216,0.983970689260362,34936,0.552274280748538,41773,0.535589203220135,41773
"1.4","Multinomial",1200,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.997,0.97642274188673,36391,0.983157774542548,35031,0.558425890444549,41773,0.540577904757322,41773
"1.5","Multinomial",1200,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.995,0.975673232337068,36503,0.98264660625748,35094,0.562425472531787,41773,0.54395676382325,41773
"1.6","Multinomial",1200,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.99,0.973870826969234,36664,0.981446173984804,35141,0.567827452709343,41773,0.547815982159939,41773
"1.7","Multinomial",1200,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.97,0.967321309285237,37425,0.976181080166873,35476,0.610374649177886,41773,0.583785868779597,41773
"1.8","Multinomial",1200,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.95,0.962301378512049,38012,0.972191105634592,35708,0.637239477705166,41773,0.604601528775064,41773
"11","Multinomial",1200,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.9999,0.979845435338597,35972,0.98553179273719,34835,0.533633611331489,41787,0.519110484090775,41787
"1.11","Multinomial",1200,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.9997,0.978957582478514,36070,0.984887588896536,34872,0.537282826655305,41787,0.521968438755072,41787
"1.21","Multinomial",1200,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.9995,0.978656848632488,36124,0.984644473729445,34906,0.539576695825081,41787,0.523920422418774,41787
"1.31","Multinomial",1200,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.999,0.978103600618511,36216,0.984181922196796,34960,0.542794547742589,41787,0.526639327493722,41787
"1.41","Multinomial",1200,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.997,0.976917369679316,36391,0.98339846535642,35057,0.548885316953487,41787,0.531616913629367,41787
"1.51","Multinomial",1200,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.995,0.976221132509657,36503,0.982946133697757,35124,0.552878692780541,41787,0.535059941771304,41787
"1.61","Multinomial",1200,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.99,0.974443595897883,36664,0.981747363034146,35173,0.558222327860703,41787,0.538874154003878,41787
"1.71","Multinomial",1200,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.97,0.968042752171009,37425,0.976632225006335,35519,0.60023368456798,41787,0.574627661683268,41787
"1.81","Multinomial",1200,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.95,0.963301062822267,38012,0.97285358830272,35769,0.62683402690349,41787,0.595549379022611,41787
