"","name","window_size","extrap_step","response","target","train_policy","cluster_type","granularity","train_size","update_freq","react_speed","state_num","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",8,0.9999,0.975328357345368,86415,0.978746501978192,82904,0.191063979345679,192754,0.183076955934807,192754
"1.1","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",8,0.9995,0.975328357345368,86415,0.978746501978192,82904,0.191063979345679,192754,0.183076955934807,192754
"1.2","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",8,0.999,0.975223175718482,86815,0.978648028725487,83271,0.192198359845747,192754,0.184142755873636,192754
"1.3","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",8,0.995,0.97482533942461,93467,0.978183646112601,89520,0.210999754492593,192754,0.202002256039039,192754
"1.4","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",8,0.99,0.974731510748812,108198,0.977862809326415,103491,0.2614769553679,192754,0.25038556567004,192754
"1.5","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",8,0.95,0.955824776978589,167809,0.960048206510471,154336,0.514398156005885,192754,0.476305767412288,192754
"11","Markov",15,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",8,0.9999,0.975953248857259,86415,0.979275610285081,82994,0.187996818195803,193709,0.180370647829386,193709
"1.11","Markov",15,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",8,0.9995,0.975953248857259,86415,0.979275610285081,82994,0.187996818195803,193709,0.180370647829386,193709
"1.21","Markov",15,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",8,0.999,0.975845188043541,86815,0.979174913928576,83361,0.189104876432464,193709,0.181411355560189,193709
"1.31","Markov",15,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",8,0.995,0.975435180331026,93467,0.978697762651342,89615,0.207589467213158,193709,0.19898214069747,193709
"1.41","Markov",15,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",8,0.99,0.975323018909777,108198,0.978349420849421,103600,0.25713429709894,193709,0.246504138887445,193709
"1.51","Markov",15,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",8,0.95,0.956849751801155,167809,0.960879547291835,154625,0.505346637353877,193709,0.468750272164423,193709
"12","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",10,0.9999,0.975063143968248,99772,0.978259504270641,95536,0.216014831841597,192754,0.206814535166073,192754
"1.12","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",10,0.9995,0.975063143968248,99772,0.978259504270641,95536,0.216014831841597,192754,0.206814535166073,192754
"1.22","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",10,0.999,0.975059880239521,100200,0.978257923975694,95943,0.216858635081365,192754,0.207611569538946,192754
"1.32","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",10,0.995,0.974534511942825,106340,0.977713740570631,101677,0.235756045226908,192754,0.22562773765619,192754
"1.42","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",10,0.99,0.973839181751929,119377,0.976794008411404,113893,0.282735446039184,192754,0.270326710462824,192754
"1.52","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",10,0.95,0.955131780579024,170321,0.959535835304648,156410,0.517374215138299,192754,0.478759054330332,192754
"13","Markov",15,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",10,0.9999,0.974862686926192,99772,0.978093323280556,95496,0.21382895422595,193709,0.204670738036094,193709
"1.13","Markov",15,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",10,0.9995,0.974862686926192,99772,0.978093323280556,95496,0.21382895422595,193709,0.204670738036094,193709
"1.23","Markov",15,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",10,0.999,0.974860279441118,100200,0.978092447577239,95903,0.214646495746057,193709,0.205449596119084,193709
"1.33","Markov",15,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",10,0.995,0.974384051156667,106340,0.977628019086035,101645,0.233506339367893,193709,0.223466997157754,193709
"1.43","Markov",15,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",10,0.99,0.973713529406837,119377,0.976709056418183,113864,0.280164344249553,193709,0.267851071214599,193709
"1.53","Markov",15,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",10,0.95,0.95479124711574,170321,0.959173880496747,156297,0.51403547751425,193709,0.475344638044661,193709
