"","name","window_size","extrap_step","response","target","train_policy","granularity","train_size","update_freq","react_speed","schedule_setting","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","Multinomial(max.avg.min.sd.median)",10,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.9999,0.986769244399817,135442,0.988101790763431,132625,0.193589139224669,291276,0.189602404099286,291276
"1.1","Multinomial(max.avg.min.sd.median)",10,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.9997,0.985764901170333,143378,0.987188180293351,140105,0.210270819267322,291276,0.205560167234135,291276
"1.2","Multinomial(max.avg.min.sd.median)",10,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.9995,0.984971644612476,148120,0.98646432352758,144507,0.220690734566127,291276,0.215486765583115,291276
"1.3","Multinomial(max.avg.min.sd.median)",10,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.999,0.983872924261481,156631,0.985518177704028,152467,0.2394999641375,291276,0.23347250057271,291276
"1.4","Multinomial(max.avg.min.sd.median)",10,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.997,0.981659871935313,177098,0.983511103339745,171570,0.287431281673423,291276,0.279115908117679,291276
"1.5","Multinomial(max.avg.min.sd.median)",10,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.995,0.979926796782414,190702,0.981885829123893,184110,0.321232891885763,291276,0.311108621484256,291276
"1.6","Multinomial(max.avg.min.sd.median)",10,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.99,0.976329134169403,212582,0.97846924001865,203755,0.381953502676071,291276,0.367864888669502,291276
"1.7","Multinomial(max.avg.min.sd.median)",10,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.97,0.965098262740439,249128,0.967854650092278,233533,0.507580687642083,291276,0.479801376932899,291276
"1.8","Multinomial(max.avg.min.sd.median)",10,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.95,0.95550189851965,262573,0.958944560868737,241454,0.569888971972535,291276,0.529514517233658,291276
"11","Multinomial(max.avg.min.sd.median)",10,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_jobs",0.9999,0.990460861475761,135442,0.991074951057384,134341,0.196022469004137,291276,0.19451114197588,291276
