"","name","window_size","extrap_step","response","target","train_policy","res_dist","granularity","train_size","update_freq","react_speed","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","LM(Avg)",15,1,"max",0.99,"fixed","normal",0,2000,3,"1,2",0.9999,0.982370847294308,91326,0.983961335159425,88349,0.247288168798676,132000,0.240194868906586,132000
"1.1","LM(Avg)",15,1,"max",0.99,"fixed","normal",0,2000,3,"1,2",0.9997,0.978936314157907,99033,0.981026023554626,95183,0.283308984079808,132000,0.273458063636774,132000
"1.2","LM(Avg)",15,1,"max",0.99,"fixed","normal",0,2000,3,"1,2",0.9995,0.976953985994889,102534,0.979169425402096,98173,0.302238873003026,132000,0.290632766299767,132000
"1.3","LM(Avg)",15,1,"max",0.99,"fixed","normal",0,2000,3,"1,2",0.999,0.97377401711,106955,0.976613528989991,101811,0.330527646479173,132000,0.316063978316952,132000
"1.4","LM(Avg)",15,1,"max",0.99,"fixed","normal",0,2000,3,"1,2",0.997,0.967559063422866,113776,0.971867819849439,107066,0.381917046662842,132000,0.361800498454106,132000
"1.5","LM(Avg)",15,1,"max",0.99,"fixed","normal",0,2000,3,"1,2",0.995,0.964218792586536,117408,0.96931202476893,109815,0.409250503640525,132000,0.385551220363156,132000
"1.6","LM(Avg)",15,1,"max",0.99,"fixed","normal",0,2000,3,"1,2",0.99,0.958057595511181,121190,0.964424020701347,112070,0.449882172066272,132000,0.419806585567396,132000
"1.7","LM(Avg)",15,1,"max",0.99,"fixed","normal",0,2000,3,"1,2",0.97,0.944415257745089,125628,0.953439508439862,113272,0.522836487050391,132000,0.477323200101811,132000
"1.8","LM(Avg)",15,1,"max",0.99,"fixed","normal",0,2000,3,"1,2",0.95,0.933202080179466,127489,0.944207420048709,112506,0.559051939743397,132000,0.501205997911642,132000
