"","name","window_size","extrap_step","response","target","train_policy","p","granularity","train_size","update_freq","react_speed","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","VAR1",20,1,"max",0.99,"fixed",1,3.125,1750,3,"1,2",0.9999,0.913687755939229,138949,0.921072131231316,117411,0.624411043629945,139522,0.540625103830432,139522
"1.1","VAR1",20,1,"max",0.99,"fixed",1,3.125,1750,3,"1,2",0.9995,0.949534038259503,132307,0.953829494814877,120055,0.502060609776127,139522,0.462035388608107,139522
"1.2","VAR1",20,1,"max",0.99,"fixed",1,3.125,1750,3,"1,2",0.999,0.956899038648963,128257,0.960208403930871,118040,0.455793411183879,139522,0.42431471013432,139522
"1.3","VAR1",20,1,"max",0.99,"fixed",1,3.125,1750,3,"1,2",0.995,0.968380179072294,118723,0.97052430067897,111787,0.368021686496859,139522,0.349116397714394,139522
"1.4","VAR1",20,1,"max",0.99,"fixed",1,3.125,1750,3,"1,2",0.99,0.971949472360053,114472,0.973676936684602,108536,0.336251518879112,139522,0.320832377734306,139522
"1.5","VAR1",20,1,"max",0.99,"fixed",1,3.125,1750,3,"1,2",0.95,0.978228724853107,102796,0.979463851515643,98704,0.274057695818776,139522,0.264153125554174,139522
