"","name","window_size","extrap_step","response","target","train_policy","granularity","train_size","update_freq","react_speed","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1.45","Multinomial",600,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.99,0.943601491346849,107822,0.951218759642086,97230,0.406130547452717,139743,0.369774449493439,139743
"1.55","Multinomial",600,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.95,0.914196417838683,124785,0.924465997433769,105992,0.540564165798539,139743,0.468237606889568,139743
"16","Multinomial",600,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.9999,0.96532617388324,87530,0.970642802575576,82467,0.261075658214691,138998,0.246332007873941,138998
"1.16","Multinomial",600,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.9995,0.960814166936616,92610,0.96653169828783,86440,0.292204860900461,138998,0.273671102119829,138998
"1.26","Multinomial",600,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.999,0.958146346566243,95595,0.964271630254752,88753,0.310920524142834,138998,0.289891281063137,138998
"1.36","Multinomial",600,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.995,0.949070653100665,105558,0.95624428369502,96216,0.376097987821543,138998,0.345548360885398,138998
"1.46","Multinomial",600,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.99,0.943272583840575,111551,0.950840879689521,100490,0.419825227792371,138998,0.382064916988193,138998
"1.56","Multinomial",600,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.95,0.914650675324266,126902,0.923989243323442,107840,0.551758534922262,138998,0.478350076969962,138998
"17","Multinomial",600,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.9999,0.964252256369245,87530,0.969750349268056,82315,0.261475967927794,139743,0.246323275526667,139743
"1.17","Multinomial",600,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.9995,0.959637188208617,92610,0.965568810211108,86259,0.292270148714074,139743,0.273234865261087,139743
"1.27","Multinomial",600,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.999,0.956974737172446,95595,0.963372362166495,88567,0.310840030899743,139743,0.289305974489234,139743
"1.37","Multinomial",600,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.995,0.947554898728661,105558,0.955035802507739,95943,0.375108481570309,139743,0.343661579241917,139743
"1.47","Multinomial",600,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.99,0.941461752920189,111551,0.949439380173128,100157,0.418145662261794,139743,0.379406692304996,139743
"1.57","Multinomial",600,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.95,0.911593197900742,126902,0.921507723304231,107208,0.547358692957695,139743,0.471790982250919,139743
