"","name","window_size","extrap_step","response","target","train_policy","cluster_type","granularity","train_size","update_freq","react_speed","schedule_setting","state_num","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",8,0.9999,0.95963921526644,37363,0.962166932361649,35128,0.191103275318112,71478,0.17969714165101,71478
"1.1","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",8,0.9995,0.95963921526644,37363,0.962166932361649,35128,0.191103275318112,71478,0.17969714165101,71478
"1.2","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",8,0.999,0.959625418060201,37375,0.962119702877309,35137,0.191148156456005,71478,0.179732764952902,71478
"1.3","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",8,0.995,0.95696688950887,37994,0.959719839104385,35551,0.198496002729671,71478,0.185752545066274,71478
"1.4","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",8,0.99,0.954960801619854,38522,0.958176704814413,35913,0.204997277491221,71478,0.191499354175661,71478
"1.5","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",8,0.95,0.935946595213896,43292,0.940671430774767,38902,0.262754494016204,71478,0.237788033377766,71478
"11","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",8,0.9999,0.961072931776568,42053,0.963596779909878,39502,0.194908147087453,72115,0.183203920996179,72115
"1.11","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",8,0.9995,0.961072931776568,42053,0.963596779909878,39502,0.194908147087453,72115,0.183203920996179,72115
"1.21","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",8,0.999,0.961037417391718,42066,0.963530066815145,39512,0.194940286263165,72115,0.183235059174631,72115
"1.31","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",8,0.995,0.958381231671554,42625,0.961087834617025,39859,0.202093530033451,72115,0.189071030366529,72115
"1.41","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",8,0.99,0.956281745019366,43117,0.959402241594022,40150,0.208428141858851,72115,0.194510917412894,72115
"1.51","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",8,0.95,0.937572424836188,47463,0.941770131668505,42607,0.264799058137884,72115,0.239610153435344,72115
"12","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",10,0.9999,0.945601685581574,41766,0.948714592387036,38198,0.244825023651153,71478,0.224897682363461,71478
"1.12","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",10,0.9995,0.945601685581574,41766,0.948714592387036,38198,0.244825023651153,71478,0.224897682363461,71478
"1.22","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",10,0.999,0.945593374503327,41778,0.94867567001675,38208,0.244869904789046,71478,0.224955277389024,71478
"1.32","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",10,0.995,0.942590026074088,42571,0.945939663188346,38716,0.253725446591779,71478,0.232048790016308,71478
"1.42","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",10,0.99,0.939561962850014,43284,0.943136803905032,39129,0.262492112527693,71478,0.239036194108435,71478
"1.52","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",10,0.95,0.920171106197433,48391,0.924819724410386,42019,0.32367131327449,71478,0.284859336665498,71478
"13","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",10,0.9999,0.947285944369477,45946,0.950113054861359,42015,0.247687010469651,72115,0.227680138954062,72115
"1.13","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",10,0.9995,0.947285944369477,45946,0.950113054861359,42015,0.247687010469651,72115,0.227680138954062,72115
"1.23","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",10,0.999,0.947257338062186,45959,0.950052351037502,42024,0.247719149645363,72115,0.227718923637942,72115
"1.33","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",10,0.995,0.944413491621309,46666,0.947398176721396,42451,0.256463653303695,72115,0.234753566401108,72115
"1.43","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",10,0.99,0.941306965836344,47331,0.944669018856462,42797,0.265029098325046,72115,0.241536170484351,72115
"1.53","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",10,0.95,0.921531616556559,51919,0.925747626231254,45076,0.324824996855917,72115,0.286301438980484,72115
"14","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",16,0.9999,0.90754814010628,52503,0.913075830345667,44349,0.370856856920298,71478,0.319167691319206,71478
"1.14","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",16,0.9995,0.90754814010628,52503,0.913075830345667,44349,0.370856856920298,71478,0.319167691319206,71478
"1.24","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",16,0.999,0.907550223745596,52515,0.913050339277261,44359,0.370901738058191,71478,0.319219459004739,71478
"1.34","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",16,0.995,0.907563824525359,52566,0.913040540540541,44400,0.371146024943924,71478,0.319488600450008,71478
"1.44","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",16,0.99,0.902458144352987,53577,0.908934592796052,44781,0.383314533026621,71478,0.327131547407452,71478
"1.54","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",16,0.95,0.885304848102154,57012,0.89225845778726,45934,0.425769704076074,71478,0.351689348994763,71478
"15","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",16,0.9999,0.907549854983697,55511,0.912565970812589,46801,0.370024710569064,72115,0.31769172373496,72115
"1.15","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",16,0.9995,0.907549854983697,55511,0.912565970812589,46801,0.370024710569064,72115,0.31769172373496,72115
"1.25","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",16,0.999,0.907535480152727,55524,0.912518692587054,46810,0.370056849744776,72115,0.317727335283637,72115
"1.35","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",16,0.995,0.907542010003238,55582,0.912474655853164,46855,0.370310695174506,72115,0.317973052279299,72115
"1.45","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",16,0.99,0.902111018703661,56513,0.908127733661727,47098,0.38207848421987,72115,0.325111969292124,72115
"1.55","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",16,0.95,0.883971693050711,59632,0.890364823027362,47804,0.422792728377351,72115,0.347300176154748,72115
"16","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",20,0.9999,0.888302350052613,57020,0.894616166641431,46231,0.420108366268639,71478,0.348663656901345,71478
"1.16","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",20,0.9995,0.888302350052613,57020,0.894616166641431,46231,0.420108366268639,71478,0.348663656901345,71478
"1.26","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",20,0.999,0.888308318137186,57032,0.894595705110184,46241,0.420153247406532,71478,0.348733212277796,71478
"1.36","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",20,0.995,0.88833803409071,57083,0.894516226610777,46282,0.420397534292266,71478,0.348953262891019,71478
"1.46","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",20,0.99,0.884818115615355,57674,0.891001185472572,46395,0.427149162408959,71478,0.35245727123452,71478
"1.56","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",3.125,2000,3,"1,2","max_size",20,0.95,0.864824211970446,60499,0.873623784432164,46686,0.461721162789182,71478,0.36702099431794,71478
"17","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",20,0.9999,0.886493384377729,59556,0.892527742499636,48031,0.41709848658513,72115,0.344043236228935,72115
"1.17","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",20,0.9995,0.886493384377729,59556,0.892527742499636,48031,0.41709848658513,72115,0.344043236228935,72115
"1.27","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",20,0.999,0.886484580906176,59569,0.892504007160848,48039,0.417130625760842,72115,0.344096561420472,72115
"1.37","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",20,0.995,0.886511144280276,59627,0.892417436153398,48084,0.417384471190571,72115,0.344294660723892,72115
"1.47","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",20,0.99,0.882931530064632,60187,0.888907350100729,48149,0.423899313624394,72115,0.347452439984221,72115
"1.57","Markov(quantile)",40,1,"max",0.99,"fixed","quantile",2.08333333333333,2000,3,"1,2","max_size",20,0.95,0.861631911230151,62724,0.869536230676278,47998,0.456668055819386,72115,0.359022724223092,72115
