"","name","window_size","extrap_step","response","target","train_policy","granularity","train_size","update_freq","react_speed","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","Multinomial",30,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.9999,0.997956324312013,1967044,0.998376712817949,1960220,0.336293281091909,2959277,0.335151876464496,2959277
"1.1","Multinomial",30,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.9995,0.997767142313715,2260780,0.99819983516991,2252016,0.421315695306846,2959277,0.419792004002432,2959277
"1.2","Multinomial",30,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.999,0.997624948326136,2440789,0.998066318686315,2430597,0.477774405516241,2959277,0.475964831380799,2959277
"1.3","Multinomial",30,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.995,0.996485738347213,2739409,0.997030020162357,2721904,0.611423383747992,2959277,0.608081251459491,2959277
"1.4","Multinomial",30,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.99,0.995143127525449,2796038,0.995827490063133,2770994,0.66238867766154,2959277,0.657363848876647,2959277
"1.5","Multinomial",30,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.95,0.985495565027946,2894494,0.987077424976493,2815151,0.781255747008724,2959277,0.762871895600295,2959277
"11","Multinomial",30,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.9999,0.997990893950517,1967044,0.998407936545993,1960349,0.331622308402941,2962570,0.330520585721209,2962570
"1.11","Multinomial",30,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.9995,0.997809163209158,2260780,0.998237719985294,2252196,0.41492282056805,2962570,0.413456757282396,2962570
"1.21","Multinomial",30,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.999,0.997672473941828,2440789,0.998109689824578,2430818,0.470063710312918,2962570,0.468326756956571,2962570
"1.31","Multinomial",30,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.995,0.99659452093499,2739409,0.99712613385296,2722465,0.600556011867356,2962570,0.597383254864612,2962570
"1.41","Multinomial",30,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.99,0.995333754405341,2796038,0.995998927852635,2772007,0.650790209288794,2962570,0.646058982096208,2962570
"1.51","Multinomial",30,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.95,0.986072522520344,2894494,0.987610783376586,2818338,0.77144209209081,2962570,0.754050739563174,2962570
"12","Multinomial",30,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.9999,0.998039905097318,2053472,0.998442317370507,2046630,0.345252479394505,2964332,0.344134922468773,2964332
