"","name","window_size","extrap_step","response","target","train_policy","res_dist","granularity","train_size","update_freq","react_speed","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","LM(Avg)",10,1,"max",0.99,"fixed","normal",0,2000,3,"1,2",0.9999,0.985591000154107,155736,0.986229386989873,151482,0.30139036839854,198000,0.294170665382478,198000
"1.1","LM(Avg)",10,1,"max",0.99,"fixed","normal",0,2000,3,"1,2",0.9997,0.982568890775154,164935,0.983610565980952,159493,0.339701050834541,198000,0.32990544800864,198000
"1.2","LM(Avg)",10,1,"max",0.99,"fixed","normal",0,2000,3,"1,2",0.9995,0.9810991378035,168987,0.982326842948226,162959,0.359600698339591,198000,0.348300710238495,198000
"1.3","LM(Avg)",10,1,"max",0.99,"fixed","normal",0,2000,3,"1,2",0.999,0.978863594512476,173776,0.980537962358214,166889,0.388872833294519,198000,0.375288173874772,198000
"1.4","LM(Avg)",10,1,"max",0.99,"fixed","normal",0,2000,3,"1,2",0.997,0.974075761448113,179986,0.97651151659487,171318,0.440628466820667,198000,0.421862026716035,198000
"1.5","LM(Avg)",10,1,"max",0.99,"fixed","normal",0,2000,3,"1,2",0.995,0.971344929856204,182411,0.974216031908674,172743,0.467134310806799,198000,0.445245251087107,198000
"1.6","LM(Avg)",10,1,"max",0.99,"fixed","normal",0,2000,3,"1,2",0.99,0.966332324200864,185638,0.970003560067526,174154,0.505719136800414,198000,0.478301876292701,198000
"1.7","LM(Avg)",10,1,"max",0.99,"fixed","normal",0,2000,3,"1,2",0.97,0.953205192185456,190363,0.958400110289683,174087,0.572591007128102,198000,0.529591506296605,198000
"1.8","LM(Avg)",10,1,"max",0.99,"fixed","normal",0,2000,3,"1,2",0.95,0.944098150826769,192194,0.95034549066625,172653,0.606362598976762,198000,0.551808399360961,198000
