"","name","window_size","extrap_step","response","target","train_policy","cluster_type","granularity","train_size","update_freq","react_speed","state_num","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","Markov",15,1,"max",0.99,"fixed","fixed",6.25,2000,3,"1,2",8,0.9999,0.975328357345368,86415,0.978746501978192,82904,0.197293459128365,191176,0.189033737658565,191176
"1.1","Markov",15,1,"max",0.99,"fixed","fixed",6.25,2000,3,"1,2",8,0.9995,0.975328357345368,86415,0.978746501978192,82904,0.197293459128365,191176,0.189033737658565,191176
"1.2","Markov",15,1,"max",0.99,"fixed","fixed",6.25,2000,3,"1,2",8,0.999,0.975223175718482,86815,0.978648028725487,83271,0.198455811896045,191176,0.190124846843002,191176
"1.3","Markov",15,1,"max",0.99,"fixed","fixed",6.25,2000,3,"1,2",8,0.995,0.97482533942461,93467,0.978183646112601,89520,0.217865048224246,191176,0.208560663390768,191176
"1.4","Markov",15,1,"max",0.99,"fixed","fixed",6.25,2000,3,"1,2",8,0.99,0.974731510748812,108198,0.977862809326415,103491,0.26990944375841,191176,0.258445828766371,191176
"1.5","Markov",15,1,"max",0.99,"fixed","fixed",6.25,2000,3,"1,2",8,0.95,0.955824776978589,167809,0.960048206510471,154336,0.530766526804994,191176,0.491414869218045,191176
"11","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",8,0.9999,0.975328357345368,86415,0.978746501978192,82904,0.191063979345679,192754,0.183076955934807,192754
"1.11","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",8,0.9995,0.975328357345368,86415,0.978746501978192,82904,0.191063979345679,192754,0.183076955934807,192754
"1.21","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",8,0.999,0.975223175718482,86815,0.978648028725487,83271,0.192198359845747,192754,0.184142755873636,192754
"1.31","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",8,0.995,0.97482533942461,93467,0.978183646112601,89520,0.210999754492593,192754,0.202002256039039,192754
"1.41","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",8,0.99,0.974731510748812,108198,0.977862809326415,103491,0.2614769553679,192754,0.25038556567004,192754
"1.51","Markov",15,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",8,0.95,0.955824776978589,167809,0.960048206510471,154336,0.514398156005885,192754,0.476305767412288,192754
"12","Markov",15,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",8,0.9999,0.975953248857259,86415,0.979275610285081,82994,0.187996818195803,193709,0.180370647829386,193709
"1.12","Markov",15,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",8,0.9995,0.975953248857259,86415,0.979275610285081,82994,0.187996818195803,193709,0.180370647829386,193709
"1.22","Markov",15,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",8,0.999,0.975845188043541,86815,0.979174913928576,83361,0.189104876432464,193709,0.181411355560189,193709
"1.32","Markov",15,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",8,0.995,0.975435180331026,93467,0.978697762651342,89615,0.207589467213158,193709,0.19898214069747,193709
"1.42","Markov",15,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",8,0.99,0.975323018909777,108198,0.978349420849421,103600,0.25713429709894,193709,0.246504138887445,193709
"1.52","Markov",15,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",8,0.95,0.956849751801155,167809,0.960879547291835,154625,0.505346637353877,193709,0.468750272164423,193709
"13","Markov",15,1,"max",0.99,"fixed","fixed",1.5625,2000,3,"1,2",8,0.9999,0.975328357345368,86415,0.978746501978192,82904,0.187203471049686,194482,0.17938157069135,194482
"1.13","Markov",15,1,"max",0.99,"fixed","fixed",1.5625,2000,3,"1,2",8,0.9995,0.975328357345368,86415,0.978746501978192,82904,0.187203471049686,194482,0.17938157069135,194482
"1.23","Markov",15,1,"max",0.99,"fixed","fixed",1.5625,2000,3,"1,2",8,0.999,0.975223175718482,86815,0.978648028725487,83271,0.18831651755713,194482,0.180427929226582,194482
"1.33","Markov",15,1,"max",0.99,"fixed","fixed",1.5625,2000,3,"1,2",8,0.995,0.97482533942461,93467,0.978183646112601,89520,0.206739623674288,194482,0.197929132951684,194482
"1.43","Markov",15,1,"max",0.99,"fixed","fixed",1.5625,2000,3,"1,2",8,0.99,0.974731510748812,108198,0.977862809326415,103491,0.256218345541141,194482,0.245356906317852,194482
"1.53","Markov",15,1,"max",0.99,"fixed","fixed",1.5625,2000,3,"1,2",8,0.95,0.955824776978589,167809,0.960048206510471,154336,0.50408020680524,194482,0.466774127158346,194482
